t,share_N,share_E,share_F,run_id,source
16,0.16,0.84,0.0,1,theory_closure
17,0.16,0.84,0.0,1,theory_closure
18,0.16,0.84,0.0,1,theory_closure
19,0.16,0.84,0.0,1,theory_closure
20,0.16,0.84,0.0,1,theory_closure
21,0.16,0.84,0.0,1,theory_closure
22,0.16,0.84,0.0,1,theory_closure
23,0.16,0.84,0.0,1,theory_closure
24,0.16,0.84,0.0,1,theory_closure
25,0.16,0.84,0.0,1,theory_closure
26,0.16,0.84,0.0,1,theory_closure
27,0.16,0.84,0.0,1,theory_closure
28,0.16,0.84,0.0,1,theory_closure
29,0.16,0.84,0.0,1,theory_closure
30,0.16,0.84,0.0,1,theory_closure
31,0.16,0.84,0.0,1,theory_closure
32,0.16,0.84,0.0,1,theory_closure
33,0.16,0.84,0.0,1,theory_closure
34,0.16,0.84,0.0,1,theory_closure
35,0.16,0.84,0.0,1,theory_closure
36,0.16,0.84,0.0,1,theory_closure
37,0.16,0.84,0.0,1,theory_closure
38,0.16,0.84,0.0,1,theory_closure
39,0.16,0.84,0.0,1,theory_closure
40,0.16,0.84,0.0,1,theory_closure
41,0.16,0.84,0.0,1,theory_closure
42,0.16,0.84,0.0,1,theory_closure
43,0.16,0.84,0.0,1,theory_closure
44,0.16,0.84,0.0,1,theory_closure
45,0.16,0.84,0.0,1,theory_closure
46,0.16,0.84,0.0,1,theory_closure
47,0.16,0.84,0.0,1,theory_closure
48,0.16,0.84,0.0,1,theory_closure
49,0.16,0.84,0.0,1,theory_closure
50,0.16,0.84,0.0,1,theory_closure
51,0.16,0.84,0.0,1,theory_closure
52,0.16,0.84,0.0,1,theory_closure
53,0.16,0.84,0.0,1,theory_closure
54,0.16,0.84,0.0,1,theory_closure
55,0.16,0.84,0.0,1,theory_closure
56,0.16,0.84,0.0,1,theory_closure
57,0.16,0.84,0.0,1,theory_closure
58,0.16,0.84,0.0,1,theory_closure
59,0.16,0.84,0.0,1,theory_closure
60,0.16,0.84,0.0,1,theory_closure
61,0.16,0.84,0.0,1,theory_closure
62,0.16,0.84,0.0,1,theory_closure
63,0.16,0.84,0.0,1,theory_closure
64,0.16,0.84,0.0,1,theory_closure
65,0.16,0.84,0.0,1,theory_closure
66,0.16,0.84,0.0,1,theory_closure
67,0.16,0.84,0.0,1,theory_closure
68,0.16,0.84,0.0,1,theory_closure
69,0.16,0.84,0.0,1,theory_closure
70,0.16,0.84,0.0,1,theory_closure
71,0.16,0.84,0.0,1,theory_closure
72,0.16,0.84,0.0,1,theory_closure
73,0.16,0.84,0.0,1,theory_closure
74,0.16,0.84,0.0,1,theory_closure
75,0.16,0.84,0.0,1,theory_closure
76,0.16,0.84,0.0,1,theory_closure
77,0.16,0.84,0.0,1,theory_closure
78,0.16,0.84,0.0,1,theory_closure
79,0.16,0.84,0.0,1,theory_closure
80,0.16,0.84,0.0,1,theory_closure
81,0.16,0.84,0.0,1,theory_closure
82,0.16,0.84,0.0,1,theory_closure
83,0.16,0.84,0.0,1,theory_closure
84,0.16,0.84,0.0,1,theory_closure
85,0.16,0.84,0.0,1,theory_closure
86,0.16,0.84,0.0,1,theory_closure
87,0.16,0.84,0.0,1,theory_closure
88,0.16,0.84,0.0,1,theory_closure
89,0.16,0.84,0.0,1,theory_closure
90,0.16,0.84,0.0,1,theory_closure
91,0.16,0.84,0.0,1,theory_closure
92,0.16,0.84,0.0,1,theory_closure
93,0.16,0.84,0.0,1,theory_closure
94,0.16,0.84,0.0,1,theory_closure
95,0.16,0.84,0.0,1,theory_closure
96,0.16,0.84,0.0,1,theory_closure
97,0.16,0.84,0.0,1,theory_closure
