agent_id,t_cross,S_minus_i_cross,theoretical_threshold,state_at_cross,upgrade_margin_at_cross,delta_C_at_cross,delta_P,v_i,d_i,run_id
30,1,13.493205849015437,9.575879396984924,2,0.00942210511673025,0.001547183530387808,0.010969288647118039,1.967711087045431,2.2128272848234585,19
37,1,15.706033133838895,9.55175879396985,1,0.001753121773047761,8.470741970322672e-05,0.0018378291927508368,1.9660135369020675,0.2350481449347112,19
52,1,14.663970906055884,9.455276381909547,2,0.006420613337409176,0.0005127304246768491,0.00693334376208591,1.9297689443490758,1.0420622277830112,19
65,1,15.706033133838895,9.6,1,0.0007478528898494652,3.706069841331232e-05,0.0007849135882626992,1.9876983531987351,0.09834419073460679,19
73,1,14.91072363627356,9.021105527638191,2,0.006076333968822345,0.0003374422682643545,0.0064137762370866025,1.778311161953631,0.7953094975653358,19
89,1,15.706033133838895,9.479396984924623,1,0.0031339871679227915,0.00014579693577340558,0.0032797841036961996,1.9299945489258952,0.43235567284775933,19
126,1,15.706033133838895,9.503517587939697,1,0.002935951511242374,0.00013831936720107,0.00307427087844356,1.9469114447963116,0.403827689100442,19
156,1,15.706033133838895,9.527638190954773,1,0.0010514215815013994,5.01645649547818e-05,0.0011015861464564274,1.9532707618212757,0.13675712726963538,19
196,1,15.140347670065209,9.310552763819095,2,0.004096361230849999,0.00023478992753698212,0.004331151158386947,1.8483788749677512,0.5656854637736869,19
3,1,8.335895980998597,7.5497487437185935,1,0.0011619460812439808,0.0024130422329150343,0.003574988314158865,1.35721293023538,0.24393820999213534,20
6,1,8.335895980998597,7.646231155778894,1,0.0022837801528892143,0.005546476760929952,0.007830256913819039,1.3859008033554308,0.5980660309459428,20
7,1,8.335895980998597,7.7668341708542705,1,0.0013822516008987762,0.004199606134701898,0.0055818577356007764,1.4653324830157692,0.40936173173200685,20
9,1,8.335895980998597,6.560804020100502,1,0.010522670341337137,0.007362829970450079,0.017885500311787234,0.6763313790966641,2.4285556649524014,20
10,1,8.335895980998597,7.622110552763819,1,0.001011418851603052,0.0023582652678342027,0.0033696841194372582,1.3667260396250107,0.23629863975848453,20
12,1,8.335895980998597,7.911557788944723,1,0.0015933122436968539,0.006741127669384085,0.008334439913080888,1.481419226994553,0.6959427699030319,20
13,1,8.335895980998597,7.284422110552764,1,0.001402911548744612,0.002028193253648735,0.003431104802393353,1.2329801792897177,0.22462613367585418,20
14,1,8.335895980998597,8.273366834170854,1,0.0002728915133407561,0.008592723135297289,0.008865614648638085,1.5822295124079884,0.8638262730924232,20
19,1,8.335895980998597,7.71859296482412,1,0.0020683179319187506,0.005720099004898787,0.007788416936817693,1.4251127325941086,0.6001074296372183,20
23,1,8.335895980998597,6.970854271356783,1,0.003474942617550214,0.0035499898705556887,0.007024932488105666,1.135478265810669,0.45107628480477996,20
25,1,8.335895980998597,8.201005025125628,1,0.00019591260436868652,0.0028078999565750227,0.003003812560943713,1.5633503107311288,0.2465868546059997,20
26,1,8.335895980998597,6.609045226130653,1,0.001865513501417726,0.0013604282646853363,0.003225941766102962,0.6886386162964315,0.2729810909775901,20
29,1,8.335895980998597,7.863316582914573,1,0.0006436804249592143,0.002414938068382374,0.0030586184933414488,1.4709932092966103,0.22415704602578418,20
34,1,8.335895980998597,6.705527638190954,1,0.008573274097719796,0.0068063909208523855,0.015379665018572193,0.7387287916893465,1.8079509842561128,20
40,1,8.335895980998597,7.983919597989949,1,0.001427036747201127,0.007416106678924403,0.008843143426125456,1.4944028534596272,0.7727897037758432,20
41,1,8.335895980998597,7.573869346733668,1,0.0036030735133789626,0.00776914430829889,0.011372217821678013,1.3640050771755383,0.9172658630388807,20
45,1,8.335895980998597,7.839195979899497,0,0.0031289038230375432,0.011099004019800072,0.014227907842837659,1.4696502574810903,1.3378391566608148,20
46,1,8.335895980998597,8.032160804020101,1,0.0009548311518678965,0.0058219246787617794,0.0067767558306294105,1.5138748721408801,0.5710134871685576,20
48,1,8.335895980998597,7.742713567839196,1,0.0005943688140528369,0.0017214846022475406,0.002315853416300243,1.4351854488896887,0.161262404762913,20
50,1,8.335895980998597,8.08040201005025,1,0.0019479925012615418,0.014295569044240017,0.01624356154550145,1.5349179365076413,1.8400779596056835,20
51,1,8.335895980998597,6.488442211055276,1,0.003856562513530948,0.002539451450101094,0.006396013963631883,0.6723665788349487,0.559220928016291,20
56,1,8.335895980998597,6.584924623115578,1,0.010175419670805819,0.007267945825003037,0.01744336549580886,0.6855805291125293,2.3081583612800984,20
58,1,8.335895980998597,7.212060301507537,1,0.00036773368699694053,0.00048768896616424416,0.0008554226531612019,1.2070976525422221,0.05287810112534985,20
61,1,8.335895980998597,7.935678391959799,1,0.0003471508375336718,0.0015670202143141417,0.001914171051847905,1.486198230419195,0.1410486158569763,20
62,1,7.60294756003661,7.405025125628141,2,0.0009090324181695308,0.008738723258329063,0.009647755676498731,1.275013936365885,0.7329484209619862,20
64,1,8.335895980998597,7.597989949748744,1,0.002448180540191025,0.005486491971582689,0.007934672511773551,1.3664681842315323,0.6003345358656316,20
66,1,8.335895980998597,6.657286432160804,1,0.0025987891986045675,0.001976630604828301,0.004575419803432771,0.6915133264798413,0.4081634842221838,20
69,1,8.335895980998597,6.802010050251256,1,0.0008303135339705614,0.0007200245914009859,0.0015503381253715932,0.7694751339686223,0.12467093335896812,20
71,1,8.335895980998597,7.163819095477386,1,0.0032914565761661407,0.004130554059975846,0.007422010636141856,1.195254512139361,0.5051057457908465,20
75,1,8.335895980998597,7.429145728643216,1,0.0035657526932051375,0.006216288885087974,0.009782041578293205,1.286017810772865,0.748447725370198,20
76,1,8.335895980998597,7.8150753768844226,1,0.00038367405870665117,0.0012898240260726986,0.001673498084779229,1.4666209546808862,0.11694860545109616,20
83,1,8.19657823100724,6.994974874371859,2,0.0010453554534266551,0.0012692820087080723,0.0023146374621346756,1.1362776013249554,0.13931774999135715,20
84,1,8.335895980998597,7.187939698492462,1,0.0015562220601186283,0.0020072113922088783,0.0035634334523275708,1.2011712283762608,0.2284006382578834,20
85,1,8.335895980998597,6.777889447236181,1,0.00044358175346981277,0.00037614019201418175,0.0008197219454841019,0.764760851921945,0.06455970361148324,20
86,1,8.335895980998597,8.128643216080402,1,0.00032960667514436714,0.0030187641026104086,0.003348370777754708,1.5444025289781829,0.26989142982479813,20
88,1,8.335895980998597,7.115577889447236,0,0.0015683754978847997,0.0018655055002933993,0.0034338809981781155,1.1886533917654467,0.21374113000319317,20
92,1,8.335895980998597,8.176884422110552,1,0.0004843739167728067,0.005853332688935622,0.006337706605708263,1.557499910998633,0.5560243937202901,20
93,1,8.335895980998597,7.5015075376884415,1,0.0020350370955504182,0.003930940486720297,0.005965977582270676,1.33943470702986,0.42029673629934866,20
100,1,8.335895980998597,6.850251256281407,1,0.004065658666057681,0.003689816336657635,0.007755475002715203,0.7832656038058845,0.7254933485214456,20
101,1,8.335895980998597,7.380904522613065,1,0.004320282657307661,0.007058911939945896,0.011379194597253794,1.2697222817935003,0.8895841947656958,20
102,1,8.335895980998597,7.959798994974873,1,0.000866373912615348,0.0041875652326584965,0.005053939145273801,1.4892632260400258,0.4007990225380827,20
104,1,8.335895980998597,8.225125628140702,1,0.0002996808527953032,0.0052623921341518306,0.005562072986946999,1.5680201369247506,0.4885930347785162,20
109,1,8.335895980998597,6.946733668341708,1,0.002104015993157571,0.0020979947298062434,0.004202010722963539,1.1263227558042705,0.2563440929295027,20
110,1,8.335895980998597,8.152763819095478,1,0.0005771107079675097,0.006018516766416742,0.0065956274743841975,1.5553544835416049,0.575113830206144,20
111,1,8.335895980998597,7.260301507537688,1,0.0067131486378020355,0.00942552068247349,0.01613866932027563,1.2283365886592617,1.3686513483720057,20
116,1,8.335895980998597,7.0432160804020105,1,0.0043236054289756964,0.00475883585497143,0.0090824412839471,1.1442238077738516,0.6255904767331016,20
117,1,8.335895980998597,7.30854271356784,1,0.0036363114520250317,0.005415810773327474,0.00905212222535254,1.2371287414883276,0.664594090678169,20
121,1,8.335895980998597,6.7537688442211055,1,0.003203793119090581,0.002657115216714782,0.005860908335805441,0.7552614059030959,0.5154992101944492,20
