t,share_N,share_E,share_F,run_id,source,beta_rr
9,0.0,0.635,0.365,6,theory_rr_async,0.05
10,0.0,0.59,0.41,6,theory_rr_async,0.05
11,0.0,0.555,0.445,6,theory_rr_async,0.05
12,0.0,0.535,0.465,6,theory_rr_async,0.05
13,0.0,0.52,0.48,6,theory_rr_async,0.05
14,0.0,0.495,0.505,6,theory_rr_async,0.05
15,0.0,0.47,0.53,6,theory_rr_async,0.05
16,0.0,0.45,0.55,6,theory_rr_async,0.05
17,0.0,0.435,0.565,6,theory_rr_async,0.05
18,0.0,0.415,0.585,6,theory_rr_async,0.05
19,0.0,0.41,0.59,6,theory_rr_async,0.05
20,0.0,0.39,0.61,6,theory_rr_async,0.05
21,0.0,0.37,0.63,6,theory_rr_async,0.05
22,0.0,0.355,0.645,6,theory_rr_async,0.05
23,0.0,0.34,0.66,6,theory_rr_async,0.05
24,0.0,0.32,0.68,6,theory_rr_async,0.05
25,0.0,0.31,0.69,6,theory_rr_async,0.05
26,0.0,0.295,0.705,6,theory_rr_async,0.05
27,0.0,0.28,0.72,6,theory_rr_async,0.05
28,0.0,0.26,0.74,6,theory_rr_async,0.05
29,0.0,0.25,0.75,6,theory_rr_async,0.05
30,0.0,0.225,0.775,6,theory_rr_async,0.05
31,0.0,0.21,0.79,6,theory_rr_async,0.05
32,0.0,0.205,0.795,6,theory_rr_async,0.05
33,0.0,0.2,0.8,6,theory_rr_async,0.05
34,0.0,0.19,0.81,6,theory_rr_async,0.05
35,0.0,0.185,0.815,6,theory_rr_async,0.05
36,0.0,0.175,0.825,6,theory_rr_async,0.05
37,0.0,0.17,0.83,6,theory_rr_async,0.05
38,0.0,0.155,0.845,6,theory_rr_async,0.05
39,0.0,0.145,0.855,6,theory_rr_async,0.05
40,0.0,0.13,0.87,6,theory_rr_async,0.05
41,0.0,0.12,0.88,6,theory_rr_async,0.05
42,0.0,0.115,0.885,6,theory_rr_async,0.05
43,0.0,0.105,0.895,6,theory_rr_async,0.05
44,0.0,0.095,0.905,6,theory_rr_async,0.05
45,0.0,0.095,0.905,6,theory_rr_async,0.05
46,0.0,0.095,0.905,6,theory_rr_async,0.05
47,0.0,0.095,0.905,6,theory_rr_async,0.05
48,0.0,0.09,0.91,6,theory_rr_async,0.05
49,0.0,0.08,0.92,6,theory_rr_async,0.05
50,0.0,0.075,0.925,6,theory_rr_async,0.05
51,0.0,0.07,0.93,6,theory_rr_async,0.05
52,0.0,0.065,0.935,6,theory_rr_async,0.05
53,0.0,0.06,0.94,6,theory_rr_async,0.05
54,0.0,0.045,0.955,6,theory_rr_async,0.05
55,0.0,0.045,0.955,6,theory_rr_async,0.05
56,0.0,0.035,0.965,6,theory_rr_async,0.05
57,0.0,0.035,0.965,6,theory_rr_async,0.05
58,0.0,0.03,0.97,6,theory_rr_async,0.05
59,0.0,0.03,0.97,6,theory_rr_async,0.05
60,0.0,0.03,0.97,6,theory_rr_async,0.05
61,0.0,0.025,0.975,6,theory_rr_async,0.05
62,0.0,0.025,0.975,6,theory_rr_async,0.05
63,0.0,0.025,0.975,6,theory_rr_async,0.05
64,0.0,0.025,0.975,6,theory_rr_async,0.05
65,0.0,0.025,0.975,6,theory_rr_async,0.05
66,0.0,0.02,0.98,6,theory_rr_async,0.05
67,0.0,0.02,0.98,6,theory_rr_async,0.05
68,0.0,0.015,0.985,6,theory_rr_async,0.05
69,0.0,0.01,0.99,6,theory_rr_async,0.05
70,0.0,0.01,0.99,6,theory_rr_async,0.05
71,0.0,0.005,0.995,6,theory_rr_async,0.05
72,0.0,0.005,0.995,6,theory_rr_async,0.05
73,0.0,0.005,0.995,6,theory_rr_async,0.05
74,0.0,0.005,0.995,6,theory_rr_async,0.05
75,0.0,0.005,0.995,6,theory_rr_async,0.05
76,0.0,0.005,0.995,6,theory_rr_async,0.05
77,0.0,0.005,0.995,6,theory_rr_async,0.05
78,0.0,0.005,0.995,6,theory_rr_async,0.05
79,0.0,0.005,0.995,6,theory_rr_async,0.05
80,0.0,0.005,0.995,6,theory_rr_async,0.05
81,0.0,0.005,0.995,6,theory_rr_async,0.05
82,0.0,0.005,0.995,6,theory_rr_async,0.05
83,0.0,0.005,0.995,6,theory_rr_async,0.05
84,0.0,0.005,0.995,6,theory_rr_async,0.05
85,0.0,0.005,0.995,6,theory_rr_async,0.05
86,0.0,0.005,0.995,6,theory_rr_async,0.05
87,0.0,0.005,0.995,6,theory_rr_async,0.05
88,0.0,0.005,0.995,6,theory_rr_async,0.05
89,0.0,0.005,0.995,6,theory_rr_async,0.05
90,0.0,0.005,0.995,6,theory_rr_async,0.05
91,0.0,0.005,0.995,6,theory_rr_async,0.05
92,0.0,0.005,0.995,6,theory_rr_async,0.05
93,0.0,0.0,1.0,6,theory_rr_async,0.05
94,0.0,0.0,1.0,6,theory_rr_async,0.05
95,0.0,0.0,1.0,6,theory_rr_async,0.05
96,0.0,0.0,1.0,6,theory_rr_async,0.05
97,0.0,0.0,1.0,6,theory_rr_async,0.05
98,0.0,0.0,1.0,6,theory_rr_async,0.05
99,0.0,0.0,1.0,6,theory_rr_async,0.05
100,0.0,0.0,1.0,6,theory_rr_async,0.05
0,0.0,1.0,0.0,7,simulation_rr,0.05
1,0.0,0.95,0.05,7,simulation_rr,0.05
2,0.0,0.905,0.095,7,simulation_rr,0.05
3,0.0,0.855,0.145,7,simulation_rr,0.05
4,0.0,0.805,0.195,7,simulation_rr,0.05
5,0.0,0.76,0.24,7,simulation_rr,0.05
6,0.0,0.72,0.28,7,simulation_rr,0.05
7,0.0,0.695,0.305,7,simulation_rr,0.05
8,0.0,0.655,0.345,7,simulation_rr,0.05
9,0.0,0.63,0.37,7,simulation_rr,0.05
10,0.0,0.61,0.39,7,simulation_rr,0.05
11,0.0,0.595,0.405,7,simulation_rr,0.05
12,0.0,0.565,0.435,7,simulation_rr,0.05
13,0.0,0.545,0.455,7,simulation_rr,0.05
14,0.0,0.515,0.485,7,simulation_rr,0.05
15,0.0,0.485,0.515,7,simulation_rr,0.05
16,0.0,0.46,0.54,7,simulation_rr,0.05
17,0.0,0.44,0.56,7,simulation_rr,0.05
18,0.0,0.425,0.575,7,simulation_rr,0.05
19,0.0,0.4,0.6,7,simulation_rr,0.05
20,0.0,0.385,0.615,7,simulation_rr,0.05
21,0.0,0.37,0.63,7,simulation_rr,0.05
22,0.0,0.345,0.655,7,simulation_rr,0.05
23,0.0,0.32,0.68,7,simulation_rr,0.05
24,0.0,0.305,0.695,7,simulation_rr,0.05
25,0.0,0.285,0.715,7,simulation_rr,0.05
26,0.0,0.28,0.72,7,simulation_rr,0.05
27,0.0,0.275,0.725,7,simulation_rr,0.05
28,0.0,0.27,0.73,7,simulation_rr,0.05
29,0.0,0.26,0.74,7,simulation_rr,0.05
30,0.0,0.25,0.75,7,simulation_rr,0.05
31,0.0,0.245,0.755,7,simulation_rr,0.05
32,0.0,0.245,0.755,7,simulation_rr,0.05
33,0.0,0.23,0.77,7,simulation_rr,0.05
34,0.0,0.23,0.77,7,simulation_rr,0.05
35,0.0,0.22,0.78,7,simulation_rr,0.05
36,0.0,0.19,0.81,7,simulation_rr,0.05
37,0.0,0.175,0.825,7,simulation_rr,0.05
38,0.0,0.165,0.835,7,simulation_rr,0.05
39,0.0,0.165,0.835,7,simulation_rr,0.05
40,0.0,0.15,0.85,7,simulation_rr,0.05
41,0.0,0.14,0.86,7,simulation_rr,0.05
42,0.0,0.135,0.865,7,simulation_rr,0.05
43,0.0,0.13,0.87,7,simulation_rr,0.05
44,0.0,0.125,0.875,7,simulation_rr,0.05
45,0.0,0.115,0.885,7,simulation_rr,0.05
46,0.0,0.11,0.89,7,simulation_rr,0.05
47,0.0,0.105,0.895,7,simulation_rr,0.05
48,0.0,0.1,0.9,7,simulation_rr,0.05
49,0.0,0.1,0.9,7,simulation_rr,0.05
50,0.0,0.09,0.91,7,simulation_rr,0.05
51,0.0,0.09,0.91,7,simulation_rr,0.05
52,0.0,0.085,0.915,7,simulation_rr,0.05
53,0.0,0.085,0.915,7,simulation_rr,0.05
54,0.0,0.08,0.92,7,simulation_rr,0.05
55,0.0,0.07,0.93,7,simulation_rr,0.05
56,0.0,0.055,0.945,7,simulation_rr,0.05
57,0.0,0.05,0.95,7,simulation_rr,0.05
58,0.0,0.05,0.95,7,simulation_rr,0.05
59,0.0,0.05,0.95,7,simulation_rr,0.05
60,0.0,0.045,0.955,7,simulation_rr,0.05
61,0.0,0.04,0.96,7,simulation_rr,0.05
62,0.0,0.04,0.96,7,simulation_rr,0.05
63,0.0,0.04,0.96,7,simulation_rr,0.05
64,0.0,0.04,0.96,7,simulation_rr,0.05
65,0.0,0.04,0.96,7,simulation_rr,0.05
0,0.0,1.0,0.0,7,theory_rr,0.05
1,0.0,0.0,1.0,7,theory_rr,0.05
2,0.0,0.0,1.0,7,theory_rr,0.05
3,0.0,0.0,1.0,7,theory_rr,0.05
4,0.0,0.0,1.0,7,theory_rr,0.05
5,0.0,0.0,1.0,7,theory_rr,0.05
6,0.0,0.0,1.0,7,theory_rr,0.05
7,0.0,0.0,1.0,7,theory_rr,0.05
8,0.0,0.0,1.0,7,theory_rr,0.05
9,0.0,0.0,1.0,7,theory_rr,0.05
10,0.0,0.0,1.0,7,theory_rr,0.05
11,0.0,0.0,1.0,7,theory_rr,0.05
12,0.0,0.0,1.0,7,theory_rr,0.05
13,0.0,0.0,1.0,7,theory_rr,0.05
14,0.0,0.0,1.0,7,theory_rr,0.05
15,0.0,0.0,1.0,7,theory_rr,0.05
16,0.0,0.0,1.0,7,theory_rr,0.05
17,0.0,0.0,1.0,7,theory_rr,0.05
18,0.0,0.0,1.0,7,theory_rr,0.05
19,0.0,0.0,1.0,7,theory_rr,0.05
20,0.0,0.0,1.0,7,theory_rr,0.05
21,0.0,0.0,1.0,7,theory_rr,0.05
22,0.0,0.0,1.0,7,theory_rr,0.05
23,0.0,0.0,1.0,7,theory_rr,0.05
24,0.0,0.0,1.0,7,theory_rr,0.05
25,0.0,0.0,1.0,7,theory_rr,0.05
26,0.0,0.0,1.0,7,theory_rr,0.05
27,0.0,0.0,1.0,7,theory_rr,0.05
28,0.0,0.0,1.0,7,theory_rr,0.05
29,0.0,0.0,1.0,7,theory_rr,0.05
30,0.0,0.0,1.0,7,theory_rr,0.05
31,0.0,0.0,1.0,7,theory_rr,0.05
32,0.0,0.0,1.0,7,theory_rr,0.05
33,0.0,0.0,1.0,7,theory_rr,0.05
34,0.0,0.0,1.0,7,theory_rr,0.05
35,0.0,0.0,1.0,7,theory_rr,0.05
36,0.0,0.0,1.0,7,theory_rr,0.05
37,0.0,0.0,1.0,7,theory_rr,0.05
38,0.0,0.0,1.0,7,theory_rr,0.05
39,0.0,0.0,1.0,7,theory_rr,0.05
40,0.0,0.0,1.0,7,theory_rr,0.05
41,0.0,0.0,1.0,7,theory_rr,0.05
42,0.0,0.0,1.0,7,theory_rr,0.05
43,0.0,0.0,1.0,7,theory_rr,0.05
44,0.0,0.0,1.0,7,theory_rr,0.05
45,0.0,0.0,1.0,7,theory_rr,0.05
46,0.0,0.0,1.0,7,theory_rr,0.05
47,0.0,0.0,1.0,7,theory_rr,0.05
48,0.0,0.0,1.0,7,theory_rr,0.05
49,0.0,0.0,1.0,7,theory_rr,0.05
50,0.0,0.0,1.0,7,theory_rr,0.05
51,0.0,0.0,1.0,7,theory_rr,0.05
52,0.0,0.0,1.0,7,theory_rr,0.05
53,0.0,0.0,1.0,7,theory_rr,0.05
54,0.0,0.0,1.0,7,theory_rr,0.05
55,0.0,0.0,1.0,7,theory_rr,0.05
56,0.0,0.0,1.0,7,theory_rr,0.05
57,0.0,0.0,1.0,7,theory_rr,0.05
58,0.0,0.0,1.0,7,theory_rr,0.05
59,0.0,0.0,1.0,7,theory_rr,0.05
60,0.0,0.0,1.0,7,theory_rr,0.05
61,0.0,0.0,1.0,7,theory_rr,0.05
62,0.0,0.0,1.0,7,theory_rr,0.05
63,0.0,0.0,1.0,7,theory_rr,0.05
64,0.0,0.0,1.0,7,theory_rr,0.05
65,0.0,0.0,1.0,7,theory_rr,0.05
66,0.0,0.0,1.0,7,theory_rr,0.05
67,0.0,0.0,1.0,7,theory_rr,0.05
68,0.0,0.0,1.0,7,theory_rr,0.05
69,0.0,0.0,1.0,7,theory_rr,0.05
70,0.0,0.0,1.0,7,theory_rr,0.05
71,0.0,0.0,1.0,7,theory_rr,0.05
72,0.0,0.0,1.0,7,theory_rr,0.05
73,0.0,0.0,1.0,7,theory_rr,0.05
74,0.0,0.0,1.0,7,theory_rr,0.05
75,0.0,0.0,1.0,7,theory_rr,0.05
76,0.0,0.0,1.0,7,theory_rr,0.05
77,0.0,0.0,1.0,7,theory_rr,0.05
78,0.0,0.0,1.0,7,theory_rr,0.05
79,0.0,0.0,1.0,7,theory_rr,0.05
80,0.0,0.0,1.0,7,theory_rr,0.05
81,0.0,0.0,1.0,7,theory_rr,0.05
82,0.0,0.0,1.0,7,theory_rr,0.05
83,0.0,0.0,1.0,7,theory_rr,0.05
84,0.0,0.0,1.0,7,theory_rr,0.05
85,0.0,0.0,1.0,7,theory_rr,0.05
86,0.0,0.0,1.0,7,theory_rr,0.05
87,0.0,0.0,1.0,7,theory_rr,0.05
88,0.0,0.0,1.0,7,theory_rr,0.05
89,0.0,0.0,1.0,7,theory_rr,0.05
90,0.0,0.0,1.0,7,theory_rr,0.05
91,0.0,0.0,1.0,7,theory_rr,0.05
92,0.0,0.0,1.0,7,theory_rr,0.05
93,0.0,0.0,1.0,7,theory_rr,0.05
94,0.0,0.0,1.0,7,theory_rr,0.05
95,0.0,0.0,1.0,7,theory_rr,0.05
96,0.0,0.0,1.0,7,theory_rr,0.05
97,0.0,0.0,1.0,7,theory_rr,0.05
98,0.0,0.0,1.0,7,theory_rr,0.05
99,0.0,0.0,1.0,7,theory_rr,0.05
100,0.0,0.0,1.0,7,theory_rr,0.05
0,0.0,1.0,0.0,7,theory_rr_async,0.05
1,0.0,0.95,0.05,7,theory_rr_async,0.05
2,0.0,0.905,0.095,7,theory_rr_async,0.05
3,0.0,0.855,0.145,7,theory_rr_async,0.05
4,0.0,0.805,0.195,7,theory_rr_async,0.05
5,0.0,0.76,0.24,7,theory_rr_async,0.05
6,0.0,0.72,0.28,7,theory_rr_async,0.05
7,0.0,0.695,0.305,7,theory_rr_async,0.05
8,0.0,0.655,0.345,7,theory_rr_async,0.05
9,0.0,0.63,0.37,7,theory_rr_async,0.05
10,0.0,0.61,0.39,7,theory_rr_async,0.05
11,0.0,0.595,0.405,7,theory_rr_async,0.05
12,0.0,0.565,0.435,7,theory_rr_async,0.05
13,0.0,0.545,0.455,7,theory_rr_async,0.05
14,0.0,0.515,0.485,7,theory_rr_async,0.05
15,0.0,0.485,0.515,7,theory_rr_async,0.05
16,0.0,0.46,0.54,7,theory_rr_async,0.05
17,0.0,0.44,0.56,7,theory_rr_async,0.05
18,0.0,0.425,0.575,7,theory_rr_async,0.05
19,0.0,0.4,0.6,7,theory_rr_async,0.05
20,0.0,0.385,0.615,7,theory_rr_async,0.05
21,0.0,0.37,0.63,7,theory_rr_async,0.05
22,0.0,0.345,0.655,7,theory_rr_async,0.05
23,0.0,0.32,0.68,7,theory_rr_async,0.05
24,0.0,0.305,0.695,7,theory_rr_async,0.05
25,0.0,0.285,0.715,7,theory_rr_async,0.05
26,0.0,0.28,0.72,7,theory_rr_async,0.05
27,0.0,0.275,0.725,7,theory_rr_async,0.05
28,0.0,0.27,0.73,7,theory_rr_async,0.05
29,0.0,0.26,0.74,7,theory_rr_async,0.05
30,0.0,0.25,0.75,7,theory_rr_async,0.05
31,0.0,0.245,0.755,7,theory_rr_async,0.05
32,0.0,0.245,0.755,7,theory_rr_async,0.05
33,0.0,0.23,0.77,7,theory_rr_async,0.05
34,0.0,0.23,0.77,7,theory_rr_async,0.05
35,0.0,0.22,0.78,7,theory_rr_async,0.05
36,0.0,0.19,0.81,7,theory_rr_async,0.05
37,0.0,0.175,0.825,7,theory_rr_async,0.05
38,0.0,0.165,0.835,7,theory_rr_async,0.05
39,0.0,0.165,0.835,7,theory_rr_async,0.05
40,0.0,0.15,0.85,7,theory_rr_async,0.05
41,0.0,0.14,0.86,7,theory_rr_async,0.05
42,0.0,0.135,0.865,7,theory_rr_async,0.05
43,0.0,0.13,0.87,7,theory_rr_async,0.05
44,0.0,0.125,0.875,7,theory_rr_async,0.05
45,0.0,0.115,0.885,7,theory_rr_async,0.05
46,0.0,0.11,0.89,7,theory_rr_async,0.05
47,0.0,0.105,0.895,7,theory_rr_async,0.05
48,0.0,0.1,0.9,7,theory_rr_async,0.05
49,0.0,0.1,0.9,7,theory_rr_async,0.05
50,0.0,0.09,0.91,7,theory_rr_async,0.05
51,0.0,0.09,0.91,7,theory_rr_async,0.05
52,0.0,0.085,0.915,7,theory_rr_async,0.05
53,0.0,0.085,0.915,7,theory_rr_async,0.05
54,0.0,0.08,0.92,7,theory_rr_async,0.05
55,0.0,0.07,0.93,7,theory_rr_async,0.05
56,0.0,0.055,0.945,7,theory_rr_async,0.05
57,0.0,0.05,0.95,7,theory_rr_async,0.05
58,0.0,0.05,0.95,7,theory_rr_async,0.05
59,0.0,0.05,0.95,7,theory_rr_async,0.05
60,0.0,0.045,0.955,7,theory_rr_async,0.05
61,0.0,0.04,0.96,7,theory_rr_async,0.05
62,0.0,0.04,0.96,7,theory_rr_async,0.05
63,0.0,0.04,0.96,7,theory_rr_async,0.05
64,0.0,0.04,0.96,7,theory_rr_async,0.05
65,0.0,0.04,0.96,7,theory_rr_async,0.05
66,0.0,0.035,0.965,7,theory_rr_async,0.05
67,0.0,0.035,0.965,7,theory_rr_async,0.05
68,0.0,0.035,0.965,7,theory_rr_async,0.05
69,0.0,0.035,0.965,7,theory_rr_async,0.05
70,0.0,0.035,0.965,7,theory_rr_async,0.05
71,0.0,0.035,0.965,7,theory_rr_async,0.05
72,0.0,0.035,0.965,7,theory_rr_async,0.05
73,0.0,0.035,0.965,7,theory_rr_async,0.05
74,0.0,0.035,0.965,7,theory_rr_async,0.05
75,0.0,0.035,0.965,7,theory_rr_async,0.05
76,0.0,0.035,0.965,7,theory_rr_async,0.05
77,0.0,0.035,0.965,7,theory_rr_async,0.05
78,0.0,0.035,0.965,7,theory_rr_async,0.05
79,0.0,0.035,0.965,7,theory_rr_async,0.05
80,0.0,0.035,0.965,7,theory_rr_async,0.05
81,0.0,0.035,0.965,7,theory_rr_async,0.05
82,0.0,0.035,0.965,7,theory_rr_async,0.05
83,0.0,0.035,0.965,7,theory_rr_async,0.05
84,0.0,0.035,0.965,7,theory_rr_async,0.05
85,0.0,0.035,0.965,7,theory_rr_async,0.05
86,0.0,0.025,0.975,7,theory_rr_async,0.05
87,0.0,0.025,0.975,7,theory_rr_async,0.05
88,0.0,0.025,0.975,7,theory_rr_async,0.05
89,0.0,0.025,0.975,7,theory_rr_async,0.05
90,0.0,0.025,0.975,7,theory_rr_async,0.05
91,0.0,0.025,0.975,7,theory_rr_async,0.05
92,0.0,0.02,0.98,7,theory_rr_async,0.05
93,0.0,0.02,0.98,7,theory_rr_async,0.05
94,0.0,0.015,0.985,7,theory_rr_async,0.05
95,0.0,0.015,0.985,7,theory_rr_async,0.05
96,0.0,0.015,0.985,7,theory_rr_async,0.05
97,0.0,0.015,0.985,7,theory_rr_async,0.05
98,0.0,0.015,0.985,7,theory_rr_async,0.05
99,0.0,0.015,0.985,7,theory_rr_async,0.05
100,0.0,0.015,0.985,7,theory_rr_async,0.05
0,0.0,1.0,0.0,8,simulation_rr,0.05
1,0.0,0.95,0.05,8,simulation_rr,0.05
2,0.0,0.9,0.1,8,simulation_rr,0.05
3,0.0,0.86,0.14,8,simulation_rr,0.05
4,0.0,0.815,0.185,8,simulation_rr,0.05
5,0.0,0.78,0.22,8,simulation_rr,0.05
6,0.0,0.745,0.255,8,simulation_rr,0.05
7,0.0,0.7,0.3,8,simulation_rr,0.05
8,0.0,0.665,0.335,8,simulation_rr,0.05
9,0.0,0.63,0.37,8,simulation_rr,0.05
10,0.0,0.595,0.405,8,simulation_rr,0.05
11,0.0,0.565,0.435,8,simulation_rr,0.05
12,0.0,0.535,0.465,8,simulation_rr,0.05
13,0.0,0.51,0.49,8,simulation_rr,0.05
14,0.0,0.49,0.51,8,simulation_rr,0.05
15,0.0,0.47,0.53,8,simulation_rr,0.05
16,0.0,0.435,0.565,8,simulation_rr,0.05
17,0.0,0.42,0.58,8,simulation_rr,0.05
18,0.0,0.415,0.585,8,simulation_rr,0.05
19,0.0,0.4,0.6,8,simulation_rr,0.05
20,0.0,0.375,0.625,8,simulation_rr,0.05
21,0.0,0.355,0.645,8,simulation_rr,0.05
22,0.0,0.325,0.675,8,simulation_rr,0.05
23,0.0,0.31,0.69,8,simulation_rr,0.05
24,0.0,0.295,0.705,8,simulation_rr,0.05
25,0.0,0.285,0.715,8,simulation_rr,0.05
26,0.0,0.26,0.74,8,simulation_rr,0.05
27,0.0,0.255,0.745,8,simulation_rr,0.05
28,0.0,0.23,0.77,8,simulation_rr,0.05
29,0.0,0.225,0.775,8,simulation_rr,0.05
30,0.0,0.215,0.785,8,simulation_rr,0.05
31,0.0,0.215,0.785,8,simulation_rr,0.05
32,0.0,0.195,0.805,8,simulation_rr,0.05
33,0.0,0.19,0.81,8,simulation_rr,0.05
34,0.0,0.19,0.81,8,simulation_rr,0.05
35,0.0,0.175,0.825,8,simulation_rr,0.05
36,0.0,0.17,0.83,8,simulation_rr,0.05
37,0.0,0.17,0.83,8,simulation_rr,0.05
38,0.0,0.165,0.835,8,simulation_rr,0.05
39,0.0,0.16,0.84,8,simulation_rr,0.05
40,0.0,0.16,0.84,8,simulation_rr,0.05
41,0.0,0.15,0.85,8,simulation_rr,0.05
42,0.0,0.14,0.86,8,simulation_rr,0.05
43,0.0,0.13,0.87,8,simulation_rr,0.05
44,0.0,0.13,0.87,8,simulation_rr,0.05
45,0.0,0.12,0.88,8,simulation_rr,0.05
46,0.0,0.115,0.885,8,simulation_rr,0.05
47,0.0,0.105,0.895,8,simulation_rr,0.05
48,0.0,0.095,0.905,8,simulation_rr,0.05
49,0.0,0.09,0.91,8,simulation_rr,0.05
50,0.0,0.08,0.92,8,simulation_rr,0.05
51,0.0,0.08,0.92,8,simulation_rr,0.05
52,0.0,0.08,0.92,8,simulation_rr,0.05
53,0.0,0.08,0.92,8,simulation_rr,0.05
54,0.0,0.075,0.925,8,simulation_rr,0.05
55,0.0,0.07,0.93,8,simulation_rr,0.05
56,0.0,0.07,0.93,8,simulation_rr,0.05
57,0.0,0.07,0.93,8,simulation_rr,0.05
58,0.0,0.06,0.94,8,simulation_rr,0.05
59,0.0,0.05,0.95,8,simulation_rr,0.05
60,0.0,0.05,0.95,8,simulation_rr,0.05
61,0.0,0.04,0.96,8,simulation_rr,0.05
62,0.0,0.035,0.965,8,simulation_rr,0.05
63,0.0,0.03,0.97,8,simulation_rr,0.05
64,0.0,0.025,0.975,8,simulation_rr,0.05
65,0.0,0.025,0.975,8,simulation_rr,0.05
66,0.0,0.025,0.975,8,simulation_rr,0.05
67,0.0,0.025,0.975,8,simulation_rr,0.05
68,0.0,0.025,0.975,8,simulation_rr,0.05
0,0.0,1.0,0.0,8,theory_rr,0.05
1,0.0,0.0,1.0,8,theory_rr,0.05
2,0.0,0.0,1.0,8,theory_rr,0.05
3,0.0,0.0,1.0,8,theory_rr,0.05
4,0.0,0.0,1.0,8,theory_rr,0.05
5,0.0,0.0,1.0,8,theory_rr,0.05
6,0.0,0.0,1.0,8,theory_rr,0.05
7,0.0,0.0,1.0,8,theory_rr,0.05
8,0.0,0.0,1.0,8,theory_rr,0.05
9,0.0,0.0,1.0,8,theory_rr,0.05
10,0.0,0.0,1.0,8,theory_rr,0.05
11,0.0,0.0,1.0,8,theory_rr,0.05
12,0.0,0.0,1.0,8,theory_rr,0.05
13,0.0,0.0,1.0,8,theory_rr,0.05
14,0.0,0.0,1.0,8,theory_rr,0.05
15,0.0,0.0,1.0,8,theory_rr,0.05
16,0.0,0.0,1.0,8,theory_rr,0.05
17,0.0,0.0,1.0,8,theory_rr,0.05
18,0.0,0.0,1.0,8,theory_rr,0.05
19,0.0,0.0,1.0,8,theory_rr,0.05
20,0.0,0.0,1.0,8,theory_rr,0.05
21,0.0,0.0,1.0,8,theory_rr,0.05
22,0.0,0.0,1.0,8,theory_rr,0.05
23,0.0,0.0,1.0,8,theory_rr,0.05
24,0.0,0.0,1.0,8,theory_rr,0.05
25,0.0,0.0,1.0,8,theory_rr,0.05
26,0.0,0.0,1.0,8,theory_rr,0.05
27,0.0,0.0,1.0,8,theory_rr,0.05
28,0.0,0.0,1.0,8,theory_rr,0.05
29,0.0,0.0,1.0,8,theory_rr,0.05
30,0.0,0.0,1.0,8,theory_rr,0.05
31,0.0,0.0,1.0,8,theory_rr,0.05
32,0.0,0.0,1.0,8,theory_rr,0.05
33,0.0,0.0,1.0,8,theory_rr,0.05
34,0.0,0.0,1.0,8,theory_rr,0.05
35,0.0,0.0,1.0,8,theory_rr,0.05
36,0.0,0.0,1.0,8,theory_rr,0.05
37,0.0,0.0,1.0,8,theory_rr,0.05
38,0.0,0.0,1.0,8,theory_rr,0.05
39,0.0,0.0,1.0,8,theory_rr,0.05
40,0.0,0.0,1.0,8,theory_rr,0.05
41,0.0,0.0,1.0,8,theory_rr,0.05
42,0.0,0.0,1.0,8,theory_rr,0.05
43,0.0,0.0,1.0,8,theory_rr,0.05
44,0.0,0.0,1.0,8,theory_rr,0.05
45,0.0,0.0,1.0,8,theory_rr,0.05
46,0.0,0.0,1.0,8,theory_rr,0.05
47,0.0,0.0,1.0,8,theory_rr,0.05
48,0.0,0.0,1.0,8,theory_rr,0.05
49,0.0,0.0,1.0,8,theory_rr,0.05
50,0.0,0.0,1.0,8,theory_rr,0.05
51,0.0,0.0,1.0,8,theory_rr,0.05
52,0.0,0.0,1.0,8,theory_rr,0.05
53,0.0,0.0,1.0,8,theory_rr,0.05
54,0.0,0.0,1.0,8,theory_rr,0.05
55,0.0,0.0,1.0,8,theory_rr,0.05
56,0.0,0.0,1.0,8,theory_rr,0.05
57,0.0,0.0,1.0,8,theory_rr,0.05
58,0.0,0.0,1.0,8,theory_rr,0.05
59,0.0,0.0,1.0,8,theory_rr,0.05
60,0.0,0.0,1.0,8,theory_rr,0.05
61,0.0,0.0,1.0,8,theory_rr,0.05
62,0.0,0.0,1.0,8,theory_rr,0.05
63,0.0,0.0,1.0,8,theory_rr,0.05
64,0.0,0.0,1.0,8,theory_rr,0.05
65,0.0,0.0,1.0,8,theory_rr,0.05
66,0.0,0.0,1.0,8,theory_rr,0.05
67,0.0,0.0,1.0,8,theory_rr,0.05
68,0.0,0.0,1.0,8,theory_rr,0.05
69,0.0,0.0,1.0,8,theory_rr,0.05
70,0.0,0.0,1.0,8,theory_rr,0.05
71,0.0,0.0,1.0,8,theory_rr,0.05
72,0.0,0.0,1.0,8,theory_rr,0.05
73,0.0,0.0,1.0,8,theory_rr,0.05
74,0.0,0.0,1.0,8,theory_rr,0.05
75,0.0,0.0,1.0,8,theory_rr,0.05
76,0.0,0.0,1.0,8,theory_rr,0.05
77,0.0,0.0,1.0,8,theory_rr,0.05
78,0.0,0.0,1.0,8,theory_rr,0.05
79,0.0,0.0,1.0,8,theory_rr,0.05
80,0.0,0.0,1.0,8,theory_rr,0.05
81,0.0,0.0,1.0,8,theory_rr,0.05
82,0.0,0.0,1.0,8,theory_rr,0.05
83,0.0,0.0,1.0,8,theory_rr,0.05
84,0.0,0.0,1.0,8,theory_rr,0.05
85,0.0,0.0,1.0,8,theory_rr,0.05
86,0.0,0.0,1.0,8,theory_rr,0.05
87,0.0,0.0,1.0,8,theory_rr,0.05
