t,share_N,share_E,share_F,run_id,source,beta_rr
34,0.0,0.0,1.0,1,theory_rr,0.05
35,0.0,0.0,1.0,1,theory_rr,0.05
36,0.0,0.0,1.0,1,theory_rr,0.05
37,0.0,0.0,1.0,1,theory_rr,0.05
38,0.0,0.0,1.0,1,theory_rr,0.05
39,0.0,0.0,1.0,1,theory_rr,0.05
40,0.0,0.0,1.0,1,theory_rr,0.05
41,0.0,0.0,1.0,1,theory_rr,0.05
42,0.0,0.0,1.0,1,theory_rr,0.05
43,0.0,0.0,1.0,1,theory_rr,0.05
44,0.0,0.0,1.0,1,theory_rr,0.05
45,0.0,0.0,1.0,1,theory_rr,0.05
46,0.0,0.0,1.0,1,theory_rr,0.05
47,0.0,0.0,1.0,1,theory_rr,0.05
48,0.0,0.0,1.0,1,theory_rr,0.05
49,0.0,0.0,1.0,1,theory_rr,0.05
50,0.0,0.0,1.0,1,theory_rr,0.05
51,0.0,0.0,1.0,1,theory_rr,0.05
52,0.0,0.0,1.0,1,theory_rr,0.05
53,0.0,0.0,1.0,1,theory_rr,0.05
54,0.0,0.0,1.0,1,theory_rr,0.05
55,0.0,0.0,1.0,1,theory_rr,0.05
56,0.0,0.0,1.0,1,theory_rr,0.05
57,0.0,0.0,1.0,1,theory_rr,0.05
58,0.0,0.0,1.0,1,theory_rr,0.05
59,0.0,0.0,1.0,1,theory_rr,0.05
60,0.0,0.0,1.0,1,theory_rr,0.05
61,0.0,0.0,1.0,1,theory_rr,0.05
62,0.0,0.0,1.0,1,theory_rr,0.05
63,0.0,0.0,1.0,1,theory_rr,0.05
64,0.0,0.0,1.0,1,theory_rr,0.05
65,0.0,0.0,1.0,1,theory_rr,0.05
66,0.0,0.0,1.0,1,theory_rr,0.05
67,0.0,0.0,1.0,1,theory_rr,0.05
68,0.0,0.0,1.0,1,theory_rr,0.05
69,0.0,0.0,1.0,1,theory_rr,0.05
70,0.0,0.0,1.0,1,theory_rr,0.05
71,0.0,0.0,1.0,1,theory_rr,0.05
72,0.0,0.0,1.0,1,theory_rr,0.05
73,0.0,0.0,1.0,1,theory_rr,0.05
74,0.0,0.0,1.0,1,theory_rr,0.05
75,0.0,0.0,1.0,1,theory_rr,0.05
76,0.0,0.0,1.0,1,theory_rr,0.05
77,0.0,0.0,1.0,1,theory_rr,0.05
78,0.0,0.0,1.0,1,theory_rr,0.05
79,0.0,0.0,1.0,1,theory_rr,0.05
80,0.0,0.0,1.0,1,theory_rr,0.05
81,0.0,0.0,1.0,1,theory_rr,0.05
82,0.0,0.0,1.0,1,theory_rr,0.05
83,0.0,0.0,1.0,1,theory_rr,0.05
84,0.0,0.0,1.0,1,theory_rr,0.05
85,0.0,0.0,1.0,1,theory_rr,0.05
86,0.0,0.0,1.0,1,theory_rr,0.05
87,0.0,0.0,1.0,1,theory_rr,0.05
88,0.0,0.0,1.0,1,theory_rr,0.05
89,0.0,0.0,1.0,1,theory_rr,0.05
90,0.0,0.0,1.0,1,theory_rr,0.05
91,0.0,0.0,1.0,1,theory_rr,0.05
92,0.0,0.0,1.0,1,theory_rr,0.05
93,0.0,0.0,1.0,1,theory_rr,0.05
94,0.0,0.0,1.0,1,theory_rr,0.05
95,0.0,0.0,1.0,1,theory_rr,0.05
96,0.0,0.0,1.0,1,theory_rr,0.05
97,0.0,0.0,1.0,1,theory_rr,0.05
98,0.0,0.0,1.0,1,theory_rr,0.05
99,0.0,0.0,1.0,1,theory_rr,0.05
100,0.0,0.0,1.0,1,theory_rr,0.05
0,0.0,1.0,0.0,1,theory_rr_async,0.05
1,0.0,0.95,0.05,1,theory_rr_async,0.05
2,0.0,0.9,0.1,1,theory_rr_async,0.05
3,0.0,0.85,0.15,1,theory_rr_async,0.05
4,0.0,0.81,0.19,1,theory_rr_async,0.05
5,0.0,0.765,0.235,1,theory_rr_async,0.05
6,0.0,0.72,0.28,1,theory_rr_async,0.05
7,0.0,0.695,0.305,1,theory_rr_async,0.05
8,0.0,0.67,0.33,1,theory_rr_async,0.05
9,0.0,0.625,0.375,1,theory_rr_async,0.05
10,0.0,0.595,0.405,1,theory_rr_async,0.05
11,0.0,0.57,0.43,1,theory_rr_async,0.05
12,0.0,0.54,0.46,1,theory_rr_async,0.05
13,0.0,0.51,0.49,1,theory_rr_async,0.05
14,0.0,0.485,0.515,1,theory_rr_async,0.05
15,0.0,0.46,0.54,1,theory_rr_async,0.05
16,0.0,0.44,0.56,1,theory_rr_async,0.05
17,0.0,0.42,0.58,1,theory_rr_async,0.05
18,0.0,0.395,0.605,1,theory_rr_async,0.05
19,0.0,0.37,0.63,1,theory_rr_async,0.05
20,0.0,0.35,0.65,1,theory_rr_async,0.05
21,0.0,0.335,0.665,1,theory_rr_async,0.05
22,0.0,0.32,0.68,1,theory_rr_async,0.05
23,0.0,0.305,0.695,1,theory_rr_async,0.05
24,0.0,0.3,0.7,1,theory_rr_async,0.05
25,0.0,0.29,0.71,1,theory_rr_async,0.05
26,0.0,0.28,0.72,1,theory_rr_async,0.05
27,0.0,0.27,0.73,1,theory_rr_async,0.05
28,0.0,0.26,0.74,1,theory_rr_async,0.05
29,0.0,0.25,0.75,1,theory_rr_async,0.05
30,0.0,0.235,0.765,1,theory_rr_async,0.05
31,0.0,0.225,0.775,1,theory_rr_async,0.05
32,0.0,0.215,0.785,1,theory_rr_async,0.05
33,0.0,0.205,0.795,1,theory_rr_async,0.05
34,0.0,0.2,0.8,1,theory_rr_async,0.05
35,0.0,0.19,0.81,1,theory_rr_async,0.05
36,0.0,0.185,0.815,1,theory_rr_async,0.05
37,0.0,0.175,0.825,1,theory_rr_async,0.05
38,0.0,0.165,0.835,1,theory_rr_async,0.05
39,0.0,0.165,0.835,1,theory_rr_async,0.05
40,0.0,0.155,0.845,1,theory_rr_async,0.05
41,0.0,0.145,0.855,1,theory_rr_async,0.05
42,0.0,0.13,0.87,1,theory_rr_async,0.05
43,0.0,0.115,0.885,1,theory_rr_async,0.05
44,0.0,0.105,0.895,1,theory_rr_async,0.05
45,0.0,0.105,0.895,1,theory_rr_async,0.05
46,0.0,0.105,0.895,1,theory_rr_async,0.05
47,0.0,0.1,0.9,1,theory_rr_async,0.05
48,0.0,0.1,0.9,1,theory_rr_async,0.05
49,0.0,0.1,0.9,1,theory_rr_async,0.05
50,0.0,0.095,0.905,1,theory_rr_async,0.05
51,0.0,0.09,0.91,1,theory_rr_async,0.05
52,0.0,0.085,0.915,1,theory_rr_async,0.05
53,0.0,0.085,0.915,1,theory_rr_async,0.05
54,0.0,0.075,0.925,1,theory_rr_async,0.05
55,0.0,0.065,0.935,1,theory_rr_async,0.05
56,0.0,0.065,0.935,1,theory_rr_async,0.05
57,0.0,0.05,0.95,1,theory_rr_async,0.05
58,0.0,0.05,0.95,1,theory_rr_async,0.05
59,0.0,0.05,0.95,1,theory_rr_async,0.05
60,0.0,0.05,0.95,1,theory_rr_async,0.05
61,0.0,0.05,0.95,1,theory_rr_async,0.05
62,0.0,0.05,0.95,1,theory_rr_async,0.05
63,0.0,0.045,0.955,1,theory_rr_async,0.05
64,0.0,0.045,0.955,1,theory_rr_async,0.05
65,0.0,0.045,0.955,1,theory_rr_async,0.05
66,0.0,0.045,0.955,1,theory_rr_async,0.05
67,0.0,0.045,0.955,1,theory_rr_async,0.05
68,0.0,0.045,0.955,1,theory_rr_async,0.05
69,0.0,0.045,0.955,1,theory_rr_async,0.05
70,0.0,0.04,0.96,1,theory_rr_async,0.05
71,0.0,0.035,0.965,1,theory_rr_async,0.05
72,0.0,0.035,0.965,1,theory_rr_async,0.05
73,0.0,0.035,0.965,1,theory_rr_async,0.05
74,0.0,0.035,0.965,1,theory_rr_async,0.05
75,0.0,0.025,0.975,1,theory_rr_async,0.05
