safety_fee_multiple,deterrence_success_rate,n_valid_agents,candidate_share_f,candidate_local_eq_rate,c_star,run_id
0.0,0.0,200,0.36,0.9444444444444444,25.912352303297013,0
0.5,0.0,200,0.36,0.9444444444444444,25.912352303297013,0
1.0,1.0,200,0.36,0.9444444444444444,25.912352303297013,0
1.5,1.0,200,0.36,0.9444444444444444,25.912352303297013,0
2.0,1.0,200,0.36,0.9444444444444444,25.912352303297013,0
0.0,0.0,200,0.36,0.9861111111111112,39.58584655794821,1
0.5,0.0,200,0.36,0.9861111111111112,39.58584655794821,1
1.0,1.0,200,0.36,0.9861111111111112,39.58584655794821,1
1.5,1.0,200,0.36,0.9861111111111112,39.58584655794821,1
2.0,1.0,200,0.36,0.9861111111111112,39.58584655794821,1
0.0,0.0,200,0.36,0.9861111111111112,33.11042765891675,2
0.5,0.0,200,0.36,0.9861111111111112,33.11042765891675,2
1.0,1.0,200,0.36,0.9861111111111112,33.11042765891675,2
1.5,1.0,200,0.36,0.9861111111111112,33.11042765891675,2
2.0,1.0,200,0.36,0.9861111111111112,33.11042765891675,2
0.0,0.0,200,0.36,1.0,32.71535911665673,3
0.5,0.0,200,0.36,1.0,32.71535911665673,3
1.0,1.0,200,0.36,1.0,32.71535911665673,3
1.5,1.0,200,0.36,1.0,32.71535911665673,3
2.0,1.0,200,0.36,1.0,32.71535911665673,3
0.0,0.0,200,0.36,0.9444444444444444,35.69187823507461,4
0.5,0.0,200,0.36,0.9444444444444444,35.69187823507461,4
1.0,1.0,200,0.36,0.9444444444444444,35.69187823507461,4
1.5,1.0,200,0.36,0.9444444444444444,35.69187823507461,4
2.0,1.0,200,0.36,0.9444444444444444,35.69187823507461,4
0.0,0.0,200,0.36,1.0,28.31694445284959,5
0.5,0.0,200,0.36,1.0,28.31694445284959,5
1.0,1.0,200,0.36,1.0,28.31694445284959,5
1.5,1.0,200,0.36,1.0,28.31694445284959,5
2.0,1.0,200,0.36,1.0,28.31694445284959,5
0.0,0.0,200,0.36,0.9583333333333334,34.62640986256568,6
0.5,0.0,200,0.36,0.9583333333333334,34.62640986256568,6
