beta,feasible_share,all_core_feasible,mean_slack,run_id
0.0,0.525,0,-4.503238803185724,0
0.05,0.6,0,-2.8932279479037666,0
0.1,0.65,0,-1.2832170926218063,0
0.15,0.65,0,0.32679376266015225,0
0.2,0.725,0,1.9368046179421128,0
0.25,0.725,0,3.546815473224072,0
0.3,0.775,0,5.156826328506032,0
0.35,0.8,0,6.766837183787989,0
0.4,0.825,0,8.37684803906995,0
0.45,0.85,0,9.986858894351911,0
0.5,0.875,0,11.59686974963387,0
0.55,0.875,0,13.206880604915833,0
0.6,0.875,0,14.81689146019779,0
0.65,0.9,0,16.426902315479747,0
0.7,0.925,0,18.036913170761704,0
0.75,0.925,0,19.646924026043667,0
0.8,0.95,0,21.256934881325627,0
0.85,0.95,0,22.866945736607587,0
0.9,0.95,0,24.47695659188955,0
0.95,0.95,0,26.086967447171503,0
1.0,0.95,0,27.696978302453466,0
0.0,0.7,0,1.154804663770433,1
0.05,0.775,0,3.124342689772362,1
0.1,0.825,0,5.093880715774294,1
0.15,0.85,0,7.063418741776222,1
0.2,0.925,0,9.032956767778154,1
0.25,0.925,0,11.002494793780084,1
0.3,0.925,0,12.972032819782012,1
0.35,0.925,0,14.941570845783946,1
0.4,0.925,0,16.911108871785878,1
0.45,0.925,0,18.880646897787805,1
0.5,0.95,0,20.850184923789737,1
0.55,0.975,0,22.819722949791664,1
0.6,0.975,0,24.78926097579359,1
0.65,1.0,1,26.758799001795524,1
0.7,1.0,1,28.728337027797455,1
0.75,1.0,1,30.697875053799386,1
0.8,1.0,1,32.667413079801314,1
0.85,1.0,1,34.63695110580325,1
0.9,1.0,1,36.606489131805176,1
0.95,1.0,1,38.576027157807104,1
1.0,1.0,1,40.54556518380904,1
0.0,0.65,0,-1.0206754732954102,2
0.05,0.75,0,0.8329200409445343,2
0.1,0.75,0,2.68651555518448,2
0.15,0.775,0,4.540111069424425,2
0.2,0.8,0,6.39370658366437,2
0.25,0.8,0,8.247302097904315,2
0.3,0.8,0,10.10089761214426,2
0.35,0.8,0,11.954493126384204,2
0.4,0.825,0,13.808088640624149,2
0.45,0.85,0,15.6616841548641,2
0.5,0.9,0,17.515279669104043,2
0.55,0.95,0,19.368875183343988,2
0.6,0.95,0,21.22247069758393,2
0.65,0.95,0,23.07606621182388,2
0.7,0.95,0,24.92966172606382,2
0.75,0.95,0,26.78325724030376,2
0.8,0.95,0,28.636852754543714,2
0.85,0.95,0,30.490448268783656,2
0.9,0.975,0,32.3440437830236,2
0.95,0.975,0,34.19763929726355,2
1.0,0.975,0,36.05123481150349,2
0.0,0.725,0,-1.4755002698651085,3
0.05,0.8,0,0.21492824578634434,3
0.1,0.825,0,1.9053567614377969,3
0.15,0.85,0,3.5957852770892496,3
0.2,0.85,0,5.286213792740703,3
0.25,0.875,0,6.976642308392155,3
0.3,0.875,0,8.667070824043607,3
0.35,0.875,0,10.357499339695059,3
0.4,0.9,0,12.047927855346515,3
0.45,0.9,0,13.738356370997966,3
0.5,0.925,0,15.428784886649419,3
0.55,0.925,0,17.119213402300872,3
0.6,0.925,0,18.809641917952323,3
0.65,0.925,0,20.500070433603774,3
0.7,0.95,0,22.190498949255225,3
0.75,0.95,0,23.88092746490668,3
0.8,0.95,0,25.571355980558135,3
0.85,0.95,0,27.261784496209582,3
0.9,0.975,0,28.95221301186104,3
0.95,0.975,0,30.642641527512488,3
1.0,0.975,0,32.33307004316394,3
0.0,0.75,0,2.6373774583587073,4
0.05,0.85,0,4.440525108102888,4
0.1,0.85,0,6.24367275784707,4
0.15,0.85,0,8.046820407591246,4
0.2,0.925,0,9.84996805733543,4
0.25,0.975,0,11.65311570707961,4
0.3,0.975,0,13.456263356823788,4
0.35,0.975,0,15.259411006567968,4
0.4,0.975,0,17.062558656312156,4
0.45,0.975,0,18.86570630605633,4
0.5,0.975,0,20.66885395580051,4
0.55,0.975,0,22.47200160554469,4
0.6,0.975,0,24.275149255288873,4
0.65,0.975,0,26.07829690503305,4
0.7,0.975,0,27.881444554777225,4
0.75,0.975,0,29.684592204521415,4
0.8,0.975,0,31.4877398542656,4
0.85,0.975,0,33.290887504009774,4
0.9,0.975,0,35.09403515375395,4
0.95,0.975,0,36.897182803498126,4
1.0,0.975,0,38.70033045324231,4
0.0,0.6,0,-5.274779062053469,5
0.05,0.65,0,-3.71187296954232,5
0.1,0.675,0,-2.1489668770311687,5
0.15,0.725,0,-0.586060784520021,5
0.2,0.75,0,0.9768453079911303,5
0.25,0.775,0,2.53975140050228,5
0.3,0.8,0,4.102657493013429,5
0.35,0.85,0,5.665563585524576,5
0.4,0.9,0,7.228469678035729,5
0.45,0.9,0,8.79137577054688,5
0.5,0.9,0,10.354281863058029,5
0.55,0.925,0,11.91718795556918,5
0.6,0.925,0,13.480094048080327,5
0.65,0.925,0,15.043000140591477,5
0.7,0.925,0,16.605906233102623,5
0.75,0.925,0,18.16881232561378,5
0.8,0.925,0,19.731718418124927,5
0.85,0.925,0,21.294624510636076,5
0.9,0.925,0,22.857530603147225,5
0.95,0.925,0,24.420436695658374,5
1.0,0.925,0,25.983342788169523,5
0.0,0.7,0,-1.8923929355430693,6
0.05,0.8,0,-0.06737244377834699,6
0.1,0.8,0,1.7576480479863772,6
0.15,0.825,0,3.5826685397510984,6
0.2,0.85,0,5.407689031515823,6
0.25,0.85,0,7.232709523280545,6
0.3,0.85,0,9.057730015045266,6
0.35,0.85,0,10.88275050680999,6
0.4,0.9,0,12.707770998574714,6
0.45,0.9,0,14.53279149033944,6
0.5,0.9,0,16.35781198210416,6
0.55,0.9,0,18.18283247386888,6
0.6,0.925,0,20.007852965633607,6
0.65,0.925,0,21.832873457398332,6
0.7,0.925,0,23.657893949163046,6
0.75,0.925,0,25.482914440927775,6
0.8,0.925,0,27.3079349326925,6
0.85,0.95,0,29.132955424457226,6
0.9,0.975,0,30.957975916221944,6
0.95,0.975,0,32.78299640798666,6
1.0,0.975,0,34.608016899751384,6
0.0,0.625,0,-2.5784853191358854,7
0.05,0.725,0,-0.8390803446897179,7
0.1,0.725,0,0.9003246297564502,7
0.15,0.75,0,2.639729604202615,7
0.2,0.8,0,4.379134578648785,7
0.25,0.825,0,6.118539553094951,7
0.3,0.85,0,7.857944527541119,7
0.35,0.875,0,9.597349501987285,7
0.4,0.9,0,11.336754476433457,7
0.45,0.925,0,13.076159450879624,7
0.5,0.925,0,14.815564425325789,7
0.55,0.95,0,16.554969399771956,7
0.6,0.975,0,18.29437437421812,7
0.65,0.975,0,20.03377934866429,7
0.7,0.975,0,21.773184323110453,7
0.75,0.975,0,23.512589297556627,7
0.8,0.975,0,25.251994272002797,7
0.85,0.975,0,26.991399246448964,7
0.9,0.975,0,28.73080422089513,7
0.95,0.975,0,30.47020919534129,7
1.0,0.975,0,32.20961416978746,7
0.0,0.575,0,-2.310817832999518,8
0.05,0.675,0,-0.6129413633707098,8
0.1,0.675,0,1.0849351062580994,8
0.15,0.725,0,2.7828115758869068,8
0.2,0.725,0,4.480688045515717,8
0.25,0.775,0,6.178564515144524,8
0.3,0.85,0,7.876440984773332,8
0.35,0.85,0,9.57431745440214,8
0.4,0.85,0,11.27219392403095,8
0.45,0.9,0,12.970070393659757,8
0.5,0.925,0,14.667946863288567,8
0.55,0.925,0,16.365823332917376,8
0.6,0.925,0,18.063699802546182,8
0.65,0.925,0,19.761576272174995,8
0.7,0.925,0,21.459452741803798,8
0.75,0.925,0,23.157329211432607,8
0.8,0.925,0,24.855205681061417,8
0.85,0.925,0,26.553082150690226,8
0.9,0.975,0,28.250958620319032,8
0.95,0.975,0,29.948835089947842,8
1.0,0.975,0,31.64671155957665,8
0.0,0.75,0,1.4853146874069467,9
0.05,0.775,0,3.3167667142442014,9
0.1,0.775,0,5.1482187410814575,9
0.15,0.8,0,6.979670767918714,9
