t,W,run_id,source,mechanism,beta_rhood
1,1026.9414173077548,0,simulation_deposit,deposit,
2,1069.2465480237943,0,simulation_deposit,deposit,
3,1148.4963827850056,0,simulation_deposit,deposit,
4,1273.6666544325365,0,simulation_deposit,deposit,
5,1373.698108927872,0,simulation_deposit,deposit,
6,1503.0728478890094,0,simulation_deposit,deposit,
7,1503.0728478890094,0,simulation_deposit,deposit,
8,1503.0728478890094,0,simulation_deposit,deposit,
9,1503.0728478890094,0,simulation_deposit,deposit,
10,1503.0728478890094,0,simulation_deposit,deposit,
0,1115.9313068244933,0,theory_deposit,deposit,
1,1115.9313068244933,0,theory_deposit,deposit,
2,1115.9313068244933,0,theory_deposit,deposit,
3,1115.9313068244933,0,theory_deposit,deposit,
4,1115.9313068244933,0,theory_deposit,deposit,
5,1115.9313068244933,0,theory_deposit,deposit,
6,1115.9313068244933,0,theory_deposit,deposit,
7,1115.9313068244933,0,theory_deposit,deposit,
8,1115.9313068244933,0,theory_deposit,deposit,
9,1115.9313068244933,0,theory_deposit,deposit,
10,1115.9313068244933,0,theory_deposit,deposit,
11,1115.9313068244933,0,theory_deposit,deposit,
12,1115.9313068244933,0,theory_deposit,deposit,
13,1115.9313068244933,0,theory_deposit,deposit,
14,1115.9313068244933,0,theory_deposit,deposit,
15,1115.9313068244933,0,theory_deposit,deposit,
16,1115.9313068244933,0,theory_deposit,deposit,
17,1115.9313068244933,0,theory_deposit,deposit,
18,1115.9313068244933,0,theory_deposit,deposit,
19,1115.9313068244933,0,theory_deposit,deposit,
20,1115.9313068244933,0,theory_deposit,deposit,
21,1115.9313068244933,0,theory_deposit,deposit,
22,1115.9313068244933,0,theory_deposit,deposit,
23,1115.9313068244933,0,theory_deposit,deposit,
24,1115.9313068244933,0,theory_deposit,deposit,
25,1115.9313068244933,0,theory_deposit,deposit,
26,1115.9313068244933,0,theory_deposit,deposit,
27,1115.9313068244933,0,theory_deposit,deposit,
28,1115.9313068244933,0,theory_deposit,deposit,
29,1115.9313068244933,0,theory_deposit,deposit,
30,1115.9313068244933,0,theory_deposit,deposit,
31,1115.9313068244933,0,theory_deposit,deposit,
32,1115.9313068244933,0,theory_deposit,deposit,
33,1115.9313068244933,0,theory_deposit,deposit,
34,1115.9313068244933,0,theory_deposit,deposit,
35,1115.9313068244933,0,theory_deposit,deposit,
36,1115.9313068244933,0,theory_deposit,deposit,
37,1115.9313068244933,0,theory_deposit,deposit,
38,1115.9313068244933,0,theory_deposit,deposit,
39,1115.9313068244933,0,theory_deposit,deposit,
40,1115.9313068244933,0,theory_deposit,deposit,
41,1115.9313068244933,0,theory_deposit,deposit,
42,1115.9313068244933,0,theory_deposit,deposit,
43,1115.9313068244933,0,theory_deposit,deposit,
44,1115.9313068244933,0,theory_deposit,deposit,
45,1115.9313068244933,0,theory_deposit,deposit,
46,1115.9313068244933,0,theory_deposit,deposit,
47,1115.9313068244933,0,theory_deposit,deposit,
48,1115.9313068244933,0,theory_deposit,deposit,
49,1115.9313068244933,0,theory_deposit,deposit,
50,1115.9313068244933,0,theory_deposit,deposit,
51,1115.9313068244933,0,theory_deposit,deposit,
52,1115.9313068244933,0,theory_deposit,deposit,
53,1115.9313068244933,0,theory_deposit,deposit,
54,1115.9313068244933,0,theory_deposit,deposit,
55,1115.9313068244933,0,theory_deposit,deposit,
56,1115.9313068244933,0,theory_deposit,deposit,
57,1115.9313068244933,0,theory_deposit,deposit,
58,1115.9313068244933,0,theory_deposit,deposit,
59,1115.9313068244933,0,theory_deposit,deposit,
60,1115.9313068244933,0,theory_deposit,deposit,
61,1115.9313068244933,0,theory_deposit,deposit,
62,1115.9313068244933,0,theory_deposit,deposit,
63,1115.9313068244933,0,theory_deposit,deposit,
64,1115.9313068244933,0,theory_deposit,deposit,
65,1115.9313068244933,0,theory_deposit,deposit,
66,1115.9313068244933,0,theory_deposit,deposit,
67,1115.9313068244933,0,theory_deposit,deposit,
68,1115.9313068244933,0,theory_deposit,deposit,
69,1115.9313068244933,0,theory_deposit,deposit,
70,1115.9313068244933,0,theory_deposit,deposit,
71,1115.9313068244933,0,theory_deposit,deposit,
72,1115.9313068244933,0,theory_deposit,deposit,
73,1115.9313068244933,0,theory_deposit,deposit,
74,1115.9313068244933,0,theory_deposit,deposit,
75,1115.9313068244933,0,theory_deposit,deposit,
76,1115.9313068244933,0,theory_deposit,deposit,
77,1115.9313068244933,0,theory_deposit,deposit,
78,1115.9313068244933,0,theory_deposit,deposit,
79,1115.9313068244933,0,theory_deposit,deposit,
80,1115.9313068244933,0,theory_deposit,deposit,
81,1115.9313068244933,0,theory_deposit,deposit,
82,1115.9313068244933,0,theory_deposit,deposit,
83,1115.9313068244933,0,theory_deposit,deposit,
84,1115.9313068244933,0,theory_deposit,deposit,
85,1115.9313068244933,0,theory_deposit,deposit,
86,1115.9313068244933,0,theory_deposit,deposit,
87,1115.9313068244933,0,theory_deposit,deposit,
88,1115.9313068244933,0,theory_deposit,deposit,
89,1115.9313068244933,0,theory_deposit,deposit,
90,1115.9313068244933,0,theory_deposit,deposit,
91,1115.9313068244933,0,theory_deposit,deposit,
92,1115.9313068244933,0,theory_deposit,deposit,
93,1115.9313068244933,0,theory_deposit,deposit,
94,1115.9313068244933,0,theory_deposit,deposit,
95,1115.9313068244933,0,theory_deposit,deposit,
96,1115.9313068244933,0,theory_deposit,deposit,
97,1115.9313068244933,0,theory_deposit,deposit,
98,1115.9313068244933,0,theory_deposit,deposit,
99,1115.9313068244933,0,theory_deposit,deposit,
100,1115.9313068244933,0,theory_deposit,deposit,
0,1115.9313068244933,0,theory_deposit_async,deposit,
1,1026.9414173077548,0,theory_deposit_async,deposit,
2,1069.2465480237943,0,theory_deposit_async,deposit,
3,1148.4963827850056,0,theory_deposit_async,deposit,
