seed_share_f,high_externality_probability,mean_final_share_F
0.0,0.0,0.0
0.05,0.4166666666666667,0.40750000000000003
0.1,1.0,0.9145833333333333
0.2,1.0,0.9145833333333333
0.35,1.0,0.9304166666666668
0.5,1.0,0.93125
