seed_share_f,high_externality_probability,mean_final_share_F
0.0,1.0,0.9583333333333334
0.05,1.0,0.9541666666666667
0.1,1.0,0.9654166666666667
0.2,1.0,0.9458333333333333
0.35,1.0,0.9595833333333333
0.5,1.0,0.9604166666666667
