agent_id,beta0,base_term,denom,numer,pi_solo,pi_break,run_id
113,-0.09897837974412253,3.4201985946307927,34.55500689617915,-3.4201985946307927,0.0,0.0,0
112,-0.8114901069752423,17.01168747622939,20.96351801458055,-17.01168747622939,0.0,0.0,0
3,-0.1441977932442644,4.7858341119901615,33.18937137881978,-4.7858341119901615,0.0,0.0,0
25,0.07225180177983033,2.317291452182367,35.657914038627574,2.5763485370011487,4.893639989183516,4.893639989183516,0
45,-0.11993908615060178,4.066927834980993,33.90827765582895,-4.066927834980993,0.0,0.0,0
159,-0.07344614748302285,2.598297594822043,35.3769078959879,-2.598297594822043,0.0,0.0,0
37,-0.15622142001856967,5.1309726878922834,32.84423280291766,-5.1309726878922834,0.0,0.0,0
134,-0.1927141083910171,6.135886056550158,31.839319434259785,-6.135886056550158,0.0,0.0,0
65,-0.02828411180524335,1.0445507672422276,36.93065472356771,-1.0445507672422276,0.0,0.0,0
71,-0.05930694410279365,2.1261008453438572,35.849104645466085,-2.1261008453438572,0.0,0.0,0
89,-0.027023470352276813,0.9992194621905965,36.975986028619346,-0.9992194621905965,0.0,0.0,0
30,0.4772402054639948,5.953469898982374,32.021735591827564,15.282059673157502,21.235529572139875,21.235529572139875,0
147,1.0270998005166894,11.287252449247859,26.687953041562082,27.41119124518719,38.69844369443505,38.69844369443505,0
83,0.7866604126444857,9.293747897028345,28.681457593781595,22.562567265969548,31.856315162997895,31.856315162997895,0
138,-0.13176901232643135,4.421357420036897,33.55384807077304,-4.421357420036897,0.0,0.0,0
140,0.6496445615768318,7.958684307678684,30.016521183131257,19.500069744076992,27.458754051755676,27.458754051755676,0
24,-0.8075330875642583,16.965794514005395,21.009410976804546,-16.965794514005395,0.0,0.0,0
155,0.01854069537521557,-0.7173875814295692,38.69259307223951,0.7173875814295692,0.0,0.0,0
128,-0.1950553109348446,6.19826165956297,31.77694383124697,-6.19826165956297,0.0,0.0,0
7,0.3469004744629075,4.206808321981807,33.76839716882813,11.71427299971838,15.921081321700187,15.921081321700187,0
158,-0.03257468176262838,1.1980055831137686,36.77719990769617,-1.1980055831137686,0.0,0.0,0
175,0.41560187979073865,5.1976734865344945,32.77753200427544,13.622403915877971,18.820077402412466,18.820077402412466,0
95,0.2657943862566863,2.9101456348476575,35.06505985596228,9.320096063469462,12.23024169831712,12.23024169831712,0
115,0.008696859610775697,-0.3331624983193915,38.30836798912933,0.3331624983193915,0.0,0.0,0
148,0.08766612921927064,-0.6876728558832423,38.662878346693184,3.3894248891301455,2.701752033246903,2.701752033246903,0
29,-0.042916179892514526,1.5626862270626303,36.41251926374731,-1.5626862270626303,0.0,0.0,0
4,0.01992382153792361,-0.7719922529411327,38.74719774375107,0.7719922529411327,0.0,0.0,0
82,-0.8821984438570959,17.799221595621272,20.17598389518867,-17.799221595621272,0.0,0.0,0
18,5.200594413393926,16.364712200468016,21.610493290341925,112.38741067643913,128.75212287690715,128.75212287690715,0
84,-0.2742486005468798,8.173167274317642,29.8020382164923,-8.173167274317642,0.0,0.0,0
176,-0.05704315584902169,2.049325567479763,35.92587992333018,-2.049325567479763,0.0,0.0,0
