intervention_round,intervention_label,mean_final_share_N,mean_final_share_E,mean_final_share_F,sd_final_share_F,mean_final_W,sd_final_W,mean_stable_window_W,sd_stable_window_W,mean_final_C_ext,mean_threshold_trigger_rate,mean_charged_F_count,mean_blocked_F_count,convergence_rate,n_runs
-1,never,0.0,0.03805555555555556,0.9619444444444445,0.020746007456781273,1369.179563930385,302.08455220867523,1383.3703307495255,300.9669650076566,79.25128215955579,0.0,0.0,0.0,1.0,36
0,t=0,0.0,0.6658333333333333,0.33416666666666667,0.041031346901746105,1570.8277490375663,115.2229863298994,1457.7082257344027,142.27823053143575,32.44879371514722,0.3910306129056129,47.22222222222222,32.0,1.0,36
10,t=10,0.0,0.5770833333333333,0.42291666666666666,0.026682658895138017,1751.3636075379404,87.90324435291245,1652.6016635245892,91.03451599571086,40.307376894533974,0.2864583333333333,40.27777777777778,22.97222222222222,1.0,36
20,t=20,0.0,0.34805555555555556,0.6519444444444444,0.028366926863559648,1842.3132513205237,157.79521361352081,1852.12819659497,143.42860724134698,58.282876655947085,0.16666666666666666,40.0,13.444444444444445,1.0,36
40,t=40,0.0,0.12736111111111112,0.8726388888888889,0.019511392683364437,1558.0345963227583,267.28398354440293,1580.791329442902,256.4260929351082,73.3504854648364,0.08548180669564674,37.5,5.222222222222222,1.0,36
60,t=60,0.0,0.04083333333333333,0.9591666666666667,0.01338976154700726,1378.037076379065,297.0983011153919,1391.3968465708667,296.3479318846017,79.05956396090922,0.041740026552956215,26.38888888888889,1.0555555555555556,1.0,36
80,t=80,0.0,0.014583333333333334,0.9854166666666667,0.010445436460825488,1324.2492637835514,304.9675148898354,1329.1551749575324,303.6530886724287,80.54099707105355,0.015364018411438442,12.777777777777779,0.2222222222222222,1.0,36
