regime,mean_final_share_N,mean_final_share_E,mean_final_share_F,sd_final_share_F,mean_final_W,sd_final_W,mean_stable_window_W,mean_final_C_ext,mean_charged_F_count,mean_blocked_F_count,mean_threshold_trigger_rate,convergence_rate,n_runs
primitive_baseline,0.02819444444444445,0.65125,0.3205555555555556,0.44407492575300817,1031.7126477195798,231.29640891577324,1053.564583711977,26.965409578199353,0.0,0.0,0.0,1.0,36
safety_only,0.02861111111111111,0.8568055555555555,0.11458333333333333,0.15090382462255317,1095.0614448769606,272.9889948083013,1086.3390339540497,11.310412325665412,15.555555555555555,10.472222222222221,0.11996240868789888,1.0,36
