t,share_N,share_E,share_F,W,C_ext,run_id,regime
4,0.035,0.965,0.0,930.4458232278173,0.0,7,safety_only
0,0.0,1.0,0.0,917.9993925004478,0.0,8,primitive_baseline
1,0.01,0.99,0.0,878.2657490664897,0.0,8,primitive_baseline
2,0.015,0.985,0.0,864.0207510946427,0.0,8,primitive_baseline
3,0.02,0.98,0.0,849.1596730311028,0.0,8,primitive_baseline
4,0.025,0.975,0.0,842.2861541758298,0.0,8,primitive_baseline
0,0.0,1.0,0.0,917.9993925004478,0.0,8,safety_only
1,0.01,0.99,0.0,878.2657490664897,0.0,8,safety_only
2,0.015,0.985,0.0,864.0207510946427,0.0,8,safety_only
3,0.02,0.98,0.0,849.1596730311028,0.0,8,safety_only
4,0.025,0.975,0.0,842.2861541758298,0.0,8,safety_only
0,0.0,1.0,0.0,1011.0387899796223,0.0,9,primitive_baseline
1,0.0,1.0,0.0,1011.0387899796223,0.0,9,primitive_baseline
2,0.0,1.0,0.0,1011.0387899796223,0.0,9,primitive_baseline
3,0.005,0.995,0.0,1007.1949316966868,0.0,9,primitive_baseline
4,0.015,0.985,0.0,988.253479770294,0.0,9,primitive_baseline
0,0.0,1.0,0.0,1011.0387899796223,0.0,9,safety_only
1,0.0,1.0,0.0,1011.0387899796223,0.0,9,safety_only
2,0.0,1.0,0.0,1011.0387899796223,0.0,9,safety_only
3,0.005,0.995,0.0,1007.1949316966868,0.0,9,safety_only
4,0.015,0.985,0.0,988.253479770294,0.0,9,safety_only
0,0.0,1.0,0.0,907.7542032015889,0.0,10,primitive_baseline
1,0.005,0.995,0.0,899.4687730175684,0.0,10,primitive_baseline
2,0.015,0.985,0.0,886.463752009536,0.0,10,primitive_baseline
3,0.02,0.98,0.0,875.9217699280063,0.0,10,primitive_baseline
4,0.02,0.98,0.0,875.9217699280063,0.0,10,primitive_baseline
0,0.0,1.0,0.0,907.7542032015889,0.0,10,safety_only
1,0.005,0.995,0.0,899.4687730175684,0.0,10,safety_only
2,0.015,0.985,0.0,886.463752009536,0.0,10,safety_only
3,0.02,0.98,0.0,875.9217699280063,0.0,10,safety_only
4,0.02,0.98,0.0,875.9217699280063,0.0,10,safety_only
0,0.0,1.0,0.0,849.9931447302101,0.0,11,primitive_baseline
1,0.0,1.0,0.0,849.9931447302101,0.0,11,primitive_baseline
2,0.005,0.995,0.0,846.0764531163807,0.0,11,primitive_baseline
3,0.015,0.985,0.0,835.0214347393155,0.0,11,primitive_baseline
4,0.015,0.985,0.0,835.0214347393155,0.0,11,primitive_baseline
0,0.0,1.0,0.0,849.9931447302101,0.0,11,safety_only
1,0.0,1.0,0.0,849.9931447302101,0.0,11,safety_only
2,0.005,0.995,0.0,846.0764531163807,0.0,11,safety_only
3,0.015,0.985,0.0,835.0214347393155,0.0,11,safety_only
4,0.015,0.985,0.0,835.0214347393155,0.0,11,safety_only
0,0.0,1.0,0.0,1024.9195188045992,0.0,12,primitive_baseline
1,0.005,0.995,0.0,1016.4606887966637,0.0,12,primitive_baseline
2,0.015,0.985,0.0,990.9663786361366,0.0,12,primitive_baseline
3,0.03,0.97,0.0,965.6837422868324,0.0,12,primitive_baseline
4,0.035,0.965,0.0,951.5900711345954,0.0,12,primitive_baseline
0,0.0,1.0,0.0,1024.9195188045992,0.0,12,safety_only
1,0.005,0.995,0.0,1016.4606887966637,0.0,12,safety_only
2,0.015,0.985,0.0,990.9663786361366,0.0,12,safety_only
3,0.03,0.97,0.0,965.6837422868324,0.0,12,safety_only
4,0.035,0.965,0.0,951.5900711345954,0.0,12,safety_only
0,0.0,1.0,0.0,926.1012540104726,0.0,13,primitive_baseline
1,0.005,0.995,0.0,924.3230059714704,0.0,13,primitive_baseline
2,0.02,0.98,0.0,910.2903637837819,0.0,13,primitive_baseline
3,0.025,0.975,0.0,907.0845694542298,0.0,13,primitive_baseline
4,0.03,0.97,0.0,898.2407399437237,0.0,13,primitive_baseline
0,0.0,1.0,0.0,926.1012540104726,0.0,13,safety_only
1,0.005,0.995,0.0,924.3230059714704,0.0,13,safety_only
2,0.02,0.98,0.0,910.2903637837819,0.0,13,safety_only
3,0.025,0.975,0.0,907.0845694542298,0.0,13,safety_only
4,0.03,0.97,0.0,898.2407399437237,0.0,13,safety_only
0,0.0,1.0,0.0,991.1414532335159,0.0,14,primitive_baseline
1,0.01,0.99,0.0,942.635573859242,0.0,14,primitive_baseline
2,0.02,0.98,0.0,914.1145735282463,0.0,14,primitive_baseline
3,0.025,0.975,0.0,897.1949816124375,0.0,14,primitive_baseline
4,0.03,0.97,0.0,893.9600376795419,0.0,14,primitive_baseline
0,0.0,1.0,0.0,991.1414532335159,0.0,14,safety_only
1,0.01,0.99,0.0,942.635573859242,0.0,14,safety_only
2,0.02,0.98,0.0,914.1145735282463,0.0,14,safety_only
3,0.025,0.975,0.0,897.1949816124375,0.0,14,safety_only
4,0.03,0.97,0.0,893.9600376795419,0.0,14,safety_only
0,0.0,1.0,0.0,988.0845626562701,0.0,15,primitive_baseline
1,0.0,1.0,0.0,988.0845626562701,0.0,15,primitive_baseline
2,0.0,1.0,0.0,988.0845626562701,0.0,15,primitive_baseline
3,0.0,1.0,0.0,988.0845626562701,0.0,15,primitive_baseline
4,0.01,0.99,0.0,968.9162331286861,0.0,15,primitive_baseline
0,0.0,1.0,0.0,988.0845626562701,0.0,15,safety_only
1,0.0,1.0,0.0,988.0845626562701,0.0,15,safety_only
2,0.0,1.0,0.0,988.0845626562701,0.0,15,safety_only
3,0.0,1.0,0.0,988.0845626562701,0.0,15,safety_only
4,0.01,0.99,0.0,968.9162331286861,0.0,15,safety_only
0,0.0,1.0,0.0,1081.7380978959711,0.0,16,primitive_baseline
1,0.01,0.99,0.0,1065.331081374983,0.0,16,primitive_baseline
2,0.015,0.985,0.0,1058.8432777851222,0.0,16,primitive_baseline
3,0.02,0.98,0.0,1049.7842396125172,0.0,16,primitive_baseline
4,0.025,0.975,0.0,1032.4466602048722,0.0,16,primitive_baseline
0,0.0,1.0,0.0,1081.7380978959711,0.0,16,safety_only
1,0.01,0.99,0.0,1065.331081374983,0.0,16,safety_only
2,0.015,0.985,0.0,1058.8432777851222,0.0,16,safety_only
3,0.02,0.98,0.0,1049.7842396125172,0.0,16,safety_only
4,0.025,0.975,0.0,1032.4466602048722,0.0,16,safety_only
0,0.0,1.0,0.0,1143.7331493974277,0.0,17,primitive_baseline
1,0.0,1.0,0.0,1143.7331493974277,0.0,17,primitive_baseline
2,0.0,1.0,0.0,1143.7331493974277,0.0,17,primitive_baseline
3,0.005,0.995,0.0,1109.1898161653903,0.0,17,primitive_baseline
4,0.015,0.985,0.0,1085.5060141006093,0.0,17,primitive_baseline
0,0.0,1.0,0.0,1143.7331493974277,0.0,17,safety_only
1,0.0,1.0,0.0,1143.7331493974277,0.0,17,safety_only
2,0.0,1.0,0.0,1143.7331493974277,0.0,17,safety_only
3,0.005,0.995,0.0,1109.1898161653903,0.0,17,safety_only
4,0.015,0.985,0.0,1085.5060141006093,0.0,17,safety_only
0,0.0,0.94,0.06,987.2745241913435,5.711663557150653,18,primitive_baseline
1,0.0,0.94,0.06,987.2745241913435,5.711663557150653,18,primitive_baseline
2,0.01,0.935,0.055,959.2544495538139,5.483438179629763,18,primitive_baseline
3,0.01,0.935,0.055,959.2544495538139,5.483438179629763,18,primitive_baseline
4,0.01,0.94,0.05,955.6810916648787,5.168984938496804,18,primitive_baseline
5,0.015,0.935,0.05,954.4027896863931,5.168984938496804,18,primitive_baseline
6,0.015,0.94,0.045,946.5694308762687,4.227889879356653,18,primitive_baseline
7,0.015,0.945,0.04,944.5120933982439,3.566137710740655,18,primitive_baseline
8,0.015,0.945,0.04,944.5120933982439,3.566137710740655,18,primitive_baseline
9,0.02,0.945,0.035,932.7606191940895,3.0781178881728852,18,primitive_baseline
10,0.035,0.93,0.035,912.6960682152838,3.0781178881728852,18,primitive_baseline
11,0.035,0.93,0.035,912.6960682152838,3.0781178881728852,18,primitive_baseline
12,0.035,0.93,0.035,912.6960682152838,3.0781178881728852,18,primitive_baseline
13,0.035,0.93,0.035,912.6960682152838,3.0781178881728852,18,primitive_baseline
0,0.0,0.94,0.06,987.2745241913435,5.711663557150653,18,safety_only
1,0.0,0.94,0.06,987.2745241913435,5.711663557150653,18,safety_only
2,0.01,0.935,0.055,959.2544495538139,5.483438179629763,18,safety_only
3,0.01,0.935,0.055,959.2544495538139,5.483438179629763,18,safety_only
4,0.01,0.94,0.05,955.6810916648787,5.168984938496804,18,safety_only
5,0.015,0.935,0.05,954.4027896863931,5.168984938496804,18,safety_only
6,0.015,0.94,0.045,946.5694308762687,4.227889879356653,18,safety_only
7,0.015,0.945,0.04,944.5120933982439,3.566137710740655,18,safety_only
