t,share_N,share_E,share_F,W,C_ext,run_id,fee_multiple
59,0.0,0.58,0.42,1616.8936796255348,34.20553554896355,4,1.5
60,0.0,0.59,0.41,1609.570195798701,33.98147947688433,4,1.5
61,0.0,0.61,0.39,1567.5564903225502,32.68137699671772,4,1.5
62,0.0,0.575,0.425,1656.0405754634369,35.384983515068235,4,1.5
63,0.0,0.59,0.41,1606.01893877512,33.86783334275863,4,1.5
64,0.0,0.615,0.385,1578.312326666796,33.01365455237418,4,1.5
65,0.0,0.59,0.41,1662.5231197872824,35.58266950493894,4,1.5
66,0.0,0.605,0.395,1599.4394720057587,33.671166486237524,4,1.5
67,0.0,0.625,0.375,1561.2913954233604,32.489877491760836,4,1.5
68,0.0,0.635,0.365,1532.7755844632898,31.592644992963415,4,1.5
69,0.0,0.61,0.39,1598.6740940601305,33.65283775615852,4,1.5
70,0.0,0.57,0.43,1665.8057749125448,35.68857817917901,4,1.5
71,0.0,0.6,0.4,1600.4545185638794,33.70712068128525,4,1.5
72,0.0,0.625,0.375,1542.765059184829,31.909396994607746,4,1.5
73,0.0,0.605,0.395,1571.1171852528028,32.80149142658317,4,1.5
74,0.0,0.58,0.42,1654.3114649928696,35.342553246066075,4,1.5
75,0.0,0.6,0.4,1594.1244845284307,33.50687864167567,4,1.5
76,0.0,0.62,0.38,1569.0635183353133,32.72878223637824,4,1.5
77,0.0,0.63,0.37,1535.0165418397723,31.65944040556886,4,1.5
78,0.0,0.605,0.395,1568.6028787949226,32.716200055394246,4,1.5
79,0.0,0.58,0.42,1638.2549835751095,34.85037168250412,4,1.5
80,0.0,0.61,0.39,1591.215200790853,33.41289667120406,4,1.5
81,0.0,0.585,0.415,1639.1247507431417,34.87526544296325,4,1.5
82,0.0,0.595,0.405,1616.3710534739575,34.18635547038678,4,1.5
83,0.0,0.62,0.38,1573.0113197273524,32.8521879185898,4,1.5
84,0.0,0.59,0.41,1665.7574802989832,35.67839773247225,4,1.5
85,0.0,0.605,0.395,1639.4925757047718,34.89212213858761,4,1.5
86,0.0,0.62,0.38,1574.7601278503712,32.90303051867794,4,1.5
87,0.0,0.595,0.405,1650.3797642970908,35.21476001557574,4,1.5
88,0.0,0.61,0.39,1610.5660551796054,34.008536458016806,4,1.5
89,0.0,0.63,0.37,1550.5663175980148,32.14896591514892,4,1.5
90,0.0,0.645,0.355,1505.5077616005046,30.71163918580598,4,1.5
91,0.0,0.605,0.395,1613.937140254699,34.11294258102481,4,1.5
92,0.0,0.64,0.36,1530.3380703880616,31.507652382302,4,1.5
93,0.0,0.6,0.4,1634.5633338802263,34.7335940860839,4,1.5
94,0.0,0.63,0.37,1584.1834695511295,33.19414213429521,4,1.5
95,0.0,0.645,0.355,1532.7899694192,31.57932369155082,4,1.5
96,0.0,0.62,0.38,1604.4142761114379,33.81235722292996,4,1.5
97,0.0,0.65,0.35,1549.575852970589,32.11209824686419,4,1.5
98,0.0,0.615,0.385,1653.5409972705024,35.302720475214855,4,1.5
99,0.0,0.63,0.37,1623.0689974857762,34.379514508265665,4,1.5
100,0.0,0.645,0.355,1584.7677091853313,33.20517832004536,4,1.5
0,0.0,1.0,0.0,945.0383827500715,0.0,4,2.0
1,0.0,0.95,0.05,889.5985156112417,6.872919056943466,4,2.0
2,0.0,0.9,0.1,968.7124451457083,10.659052599570943,4,2.0
3,0.0,0.85,0.15,1063.1208501971241,14.687348208370935,4,2.0
4,0.0,0.81,0.19,1202.0243363629227,20.158194166763934,4,2.0
5,0.0,0.77,0.23,1296.6198385388245,23.633549554683846,4,2.0
6,0.0,0.73,0.27,1384.5415044354668,26.705915011444958,4,2.0
7,0.0,0.695,0.305,1475.9653056409916,29.761526345933397,4,2.0
8,0.0,0.665,0.335,1567.8236318020422,32.691091208669555,4,2.0
9,0.0,0.635,0.365,1630.4809357864872,34.62048253044155,4,2.0
10,0.0,0.65,0.35,1606.074352049764,33.8780986948623,4,2.0
11,0.0,0.635,0.365,1647.0221510065799,35.12040179360289,4,2.0
12,0.0,0.65,0.35,1620.009842766013,34.30493881722205,4,2.0
13,0.0,0.67,0.33,1558.431880316629,32.40444110967198,4,2.0
14,0.0,0.65,0.35,1605.8642385545556,33.87348142488354,4,2.0
15,0.0,0.665,0.335,1548.725443908651,32.09945618842514,4,2.0
16,0.0,0.645,0.355,1621.3298580085393,34.35165703847589,4,2.0
17,0.0,0.66,0.34,1541.6419292827238,31.877619657555893,4,2.0
18,0.0,0.63,0.37,1618.3565029060944,34.254825078052335,4,2.0
19,0.0,0.645,0.355,1584.8571780294385,33.226008549998404,4,2.0
20,0.0,0.66,0.34,1537.3372654772095,31.73944706686172,4,2.0
21,0.0,0.62,0.38,1630.1818218880385,34.61869260355192,4,2.0
22,0.0,0.635,0.365,1583.8347346405028,33.19430143857286,4,2.0
23,0.0,0.6,0.4,1662.4066694604264,35.58027556024324,4,2.0
24,0.0,0.615,0.385,1598.0896735882686,33.626258235222906,4,2.0
25,0.0,0.63,0.37,1578.0923272450682,33.00888974190585,4,2.0
26,0.0,0.645,0.355,1555.1048229239195,32.289136377501876,4,2.0
27,0.0,0.605,0.395,1655.291306014055,35.361434794148906,4,2.0
28,0.0,0.635,0.365,1570.8205051502111,32.7862777735815,4,2.0
29,0.0,0.6,0.4,1657.7191472735815,35.436984817067824,4,2.0
30,0.0,0.625,0.375,1586.6640198353332,33.275623147406094,4,2.0
31,0.0,0.635,0.365,1566.8052482464261,32.656194453539094,4,2.0
32,0.0,0.65,0.35,1498.953855035011,30.497387807519672,4,2.0
33,0.0,0.615,0.385,1591.2529157711335,33.40698217209357,4,2.0
34,0.0,0.58,0.42,1657.2357656724967,35.415341505132005,4,2.0
35,0.0,0.615,0.385,1572.7459317247867,32.83251056598385,4,2.0
36,0.0,0.63,0.37,1547.7094374978699,32.04823539948879,4,2.0
37,0.0,0.645,0.355,1517.5937705660674,31.095437264993414,4,2.0
38,0.0,0.61,0.39,1593.5374256849739,33.47902418064791,4,2.0
39,0.0,0.625,0.375,1571.1051690192567,32.78558969240205,4,2.0
40,0.0,0.58,0.42,1643.9963859167478,35.02024016792705,4,2.0
41,0.0,0.595,0.405,1627.5340666794652,34.520963387956726,4,2.0
42,0.0,0.62,0.38,1530.5562493565,31.509646637585448,4,2.0
43,0.0,0.59,0.41,1631.1335210824116,34.63374026527275,4,2.0
44,0.0,0.605,0.395,1561.3983391947656,32.48213734840155,4,2.0
45,0.0,0.62,0.38,1514.8258809473512,31.011420394171168,4,2.0
46,0.0,0.6,0.4,1557.0618285664366,32.35037179005681,4,2.0
47,0.0,0.57,0.43,1615.3251733560776,34.15166997252052,4,2.0
48,0.0,0.595,0.405,1557.0428407346749,32.34586042208463,4,2.0
49,0.0,0.605,0.395,1512.4103388355156,30.925214318619723,4,2.0
50,0.0,0.575,0.425,1590.0859236374095,33.36366368864949,4,2.0
51,0.0,0.595,0.405,1533.1374079150628,31.582976407403066,4,2.0
52,0.0,0.57,0.43,1580.723598376376,33.072628842850676,4,2.0
53,0.0,0.545,0.455,1653.695903472661,35.30688034164487,4,2.0
54,0.0,0.56,0.44,1615.9706235925316,34.16696317006431,4,2.0
55,0.0,0.58,0.42,1576.1388294217613,32.94098366834062,4,2.0
56,0.0,0.555,0.445,1632.1586023482396,34.66300330234235,4,2.0
57,0.0,0.585,0.415,1564.4509196064444,32.580823534374225,4,2.0
58,0.0,0.56,0.44,1663.5930752204276,35.61235278006666,4,2.0
59,0.0,0.58,0.42,1616.8936796255348,34.20553554896355,4,2.0
60,0.0,0.59,0.41,1609.570195798701,33.98147947688433,4,2.0
61,0.0,0.61,0.39,1567.5564903225502,32.68137699671772,4,2.0
62,0.0,0.575,0.425,1656.0405754634369,35.384983515068235,4,2.0
63,0.0,0.59,0.41,1606.01893877512,33.86783334275863,4,2.0
64,0.0,0.615,0.385,1578.312326666796,33.01365455237418,4,2.0
65,0.0,0.59,0.41,1662.5231197872824,35.58266950493894,4,2.0
66,0.0,0.605,0.395,1599.4394720057587,33.671166486237524,4,2.0
67,0.0,0.625,0.375,1561.2913954233604,32.489877491760836,4,2.0
68,0.0,0.635,0.365,1532.7755844632898,31.592644992963415,4,2.0
69,0.0,0.61,0.39,1598.6740940601305,33.65283775615852,4,2.0
70,0.0,0.57,0.43,1665.8057749125448,35.68857817917901,4,2.0
71,0.0,0.6,0.4,1600.4545185638794,33.70712068128525,4,2.0
72,0.0,0.625,0.375,1542.765059184829,31.909396994607746,4,2.0
73,0.0,0.605,0.395,1571.1171852528028,32.80149142658317,4,2.0
74,0.0,0.58,0.42,1654.3114649928696,35.342553246066075,4,2.0
75,0.0,0.6,0.4,1594.1244845284307,33.50687864167567,4,2.0
76,0.0,0.62,0.38,1569.0635183353133,32.72878223637824,4,2.0
77,0.0,0.63,0.37,1535.0165418397723,31.65944040556886,4,2.0
78,0.0,0.605,0.395,1568.6028787949226,32.716200055394246,4,2.0
79,0.0,0.58,0.42,1638.2549835751095,34.85037168250412,4,2.0
80,0.0,0.61,0.39,1591.215200790853,33.41289667120406,4,2.0
81,0.0,0.585,0.415,1639.1247507431417,34.87526544296325,4,2.0
82,0.0,0.595,0.405,1616.3710534739575,34.18635547038678,4,2.0
83,0.0,0.62,0.38,1573.0113197273524,32.8521879185898,4,2.0
84,0.0,0.59,0.41,1665.7574802989832,35.67839773247225,4,2.0
85,0.0,0.605,0.395,1639.4925757047718,34.89212213858761,4,2.0
86,0.0,0.62,0.38,1574.7601278503712,32.90303051867794,4,2.0
87,0.0,0.595,0.405,1650.3797642970908,35.21476001557574,4,2.0
88,0.0,0.61,0.39,1610.5660551796054,34.008536458016806,4,2.0
89,0.0,0.63,0.37,1550.5663175980148,32.14896591514892,4,2.0
90,0.0,0.645,0.355,1505.5077616005046,30.71163918580598,4,2.0
91,0.0,0.605,0.395,1613.937140254699,34.11294258102481,4,2.0
92,0.0,0.64,0.36,1530.3380703880616,31.507652382302,4,2.0
93,0.0,0.6,0.4,1634.5633338802263,34.7335940860839,4,2.0
94,0.0,0.63,0.37,1584.1834695511295,33.19414213429521,4,2.0
95,0.0,0.645,0.355,1532.7899694192,31.57932369155082,4,2.0
96,0.0,0.62,0.38,1604.4142761114379,33.81235722292996,4,2.0
97,0.0,0.65,0.35,1549.575852970589,32.11209824686419,4,2.0
98,0.0,0.615,0.385,1653.5409972705024,35.302720475214855,4,2.0
99,0.0,0.63,0.37,1623.0689974857762,34.379514508265665,4,2.0
100,0.0,0.645,0.355,1584.7677091853313,33.20517832004536,4,2.0
0,0.0,1.0,0.0,985.0183373681498,0.0,6,0.0
1,0.0,0.95,0.05,887.7851797576227,4.269537338158887,6,0.0
2,0.0,0.9,0.1,993.5770935842924,10.420327854083013,6,0.0
3,0.0,0.86,0.14,1095.745752966346,14.934788000443646,6,0.0
4,0.0,0.815,0.185,1184.5269107051354,18.59026687668448,6,0.0
5,0.0,0.765,0.235,1284.0407939718166,22.46713788334558,6,0.0
6,0.0,0.735,0.265,1384.0073011811019,26.15136937334852,6,0.0
7,0.0,0.705,0.295,1481.154546047669,29.552551041535295,6,0.0
8,0.0,0.665,0.335,1581.146824460596,32.88392047887636,6,0.0
9,0.0,0.635,0.365,1645.4629104100525,34.947769522274704,6,0.0
10,0.0,0.59,0.41,1751.1214790877536,38.73678474223866,6,0.0
11,0.0,0.555,0.445,1798.3623851806092,40.77565052691068,6,0.0
12,0.0,0.535,0.465,1825.2259833364074,42.08483036766884,6,0.0
13,0.0,0.52,0.48,1854.3400110776413,43.68494535665308,6,0.0
14,0.0,0.495,0.505,1887.4574517893686,45.85599082641592,6,0.0
15,0.0,0.47,0.53,1896.5526487468005,46.551272865964435,6,0.0
16,0.0,0.45,0.55,1915.111807362313,48.20595331194326,6,0.0
17,0.0,0.435,0.565,1925.3075827601156,49.33750566378632,6,0.0
18,0.0,0.415,0.585,1941.5238067969892,51.936297474140424,6,0.0
19,0.0,0.41,0.59,1944.0662981344944,52.61336890523942,6,0.0
20,0.0,0.39,0.61,1946.8774837505089,56.21933098465844,6,0.0
21,0.0,0.37,0.63,1942.229111816825,57.785843525999006,6,0.0
22,0.0,0.355,0.645,1938.035695359666,58.66365579643719,6,0.0
23,0.0,0.34,0.66,1931.066409202289,59.75705320235876,6,0.0
24,0.0,0.32,0.68,1917.9220108849167,61.35566507707345,6,0.0
25,0.0,0.31,0.69,1913.9978634132926,61.76744762767198,6,0.0
26,0.0,0.295,0.705,1898.92810038495,63.16193613146818,6,0.0
27,0.0,0.28,0.72,1889.9180261066672,63.89645326601729,6,0.0
28,0.0,0.26,0.74,1877.5392587371202,64.82176018909959,6,0.0
29,0.0,0.25,0.75,1865.9614639349438,65.61904722712616,6,0.0
30,0.0,0.225,0.775,1850.330114972384,66.61522567604771,6,0.0
31,0.0,0.21,0.79,1801.1239452906766,69.34600753981243,6,0.0
32,0.0,0.205,0.795,1798.6640730559582,69.46779631950903,6,0.0
33,0.0,0.2,0.8,1787.9063709409354,69.99195725847953,6,0.0
34,0.0,0.19,0.81,1764.3330683280356,71.09809526816564,6,0.0
35,0.0,0.185,0.815,1752.7047063803222,71.61152010907821,6,0.0
36,0.0,0.175,0.825,1745.5414694446636,71.92337504581151,6,0.0
37,0.0,0.17,0.83,1740.3540590644657,72.1444476687239,6,0.0
38,0.0,0.155,0.845,1713.8623872991377,73.23806220462055,6,0.0
39,0.0,0.145,0.855,1693.5716056288395,74.04379123570796,6,0.0
40,0.0,0.13,0.87,1671.2411361211196,74.89807970240011,6,0.0
41,0.0,0.12,0.88,1665.347296818819,75.1188844632151,6,0.0
42,0.0,0.115,0.885,1663.090541460944,75.20149048425728,6,0.0
43,0.0,0.105,0.895,1649.7790930050746,75.68858862595724,6,0.0
44,0.0,0.095,0.905,1632.7606601642149,76.29236581028603,6,0.0
45,0.0,0.095,0.905,1632.7606601642149,76.29236581028603,6,0.0
46,0.0,0.095,0.905,1632.7606601642149,76.29236581028603,6,0.0
47,0.0,0.095,0.905,1632.7606601642149,76.29236581028603,6,0.0
48,0.0,0.09,0.91,1629.397387363648,76.41052597628978,6,0.0
49,0.0,0.08,0.92,1620.957650691255,76.70498894679683,6,0.0
50,0.0,0.075,0.925,1615.6369437106919,76.89000015808446,6,0.0
51,0.0,0.07,0.93,1607.2198922821447,77.17821592263996,6,0.0
52,0.0,0.065,0.935,1589.6666253147682,77.76244926375344,6,0.0
53,0.0,0.06,0.94,1586.8787314067897,77.85420636764539,6,0.0
54,0.0,0.045,0.955,1577.2765792555006,78.1688854473239,6,0.0
55,0.0,0.045,0.955,1577.2765792555006,78.1688854473239,6,0.0
56,0.0,0.035,0.965,1557.6903182278584,78.80458560242906,6,0.0
57,0.0,0.035,0.965,1557.6903182278584,78.80458560242906,6,0.0
58,0.0,0.03,0.97,1546.001646962553,79.17769636884152,6,0.0
59,0.0,0.03,0.97,1546.001646962553,79.17769636884152,6,0.0
60,0.0,0.03,0.97,1546.001646962553,79.17769636884152,6,0.0
61,0.0,0.025,0.975,1537.8893134355358,79.43312673529476,6,0.0
62,0.0,0.025,0.975,1537.8893134355358,79.43312673529476,6,0.0
63,0.0,0.025,0.975,1537.8893134355358,79.43312673529476,6,0.0
64,0.0,0.025,0.975,1537.8893134355358,79.43312673529476,6,0.0
65,0.0,0.025,0.975,1537.8893134355358,79.43312673529476,6,0.0
0,0.0,1.0,0.0,985.0183373681498,0.0,6,0.5
1,0.0,0.95,0.05,887.7851797576227,4.269537338158887,6,0.5
2,0.0,0.9,0.1,993.5770935842924,10.420327854083013,6,0.5
3,0.0,0.86,0.14,1095.745752966346,14.934788000443646,6,0.5
4,0.0,0.815,0.185,1184.5269107051354,18.59026687668448,6,0.5
5,0.0,0.765,0.235,1284.0407939718166,22.46713788334558,6,0.5
6,0.0,0.735,0.265,1384.0073011811019,26.15136937334852,6,0.5
7,0.0,0.705,0.295,1481.154546047669,29.552551041535295,6,0.5
8,0.0,0.665,0.335,1581.146824460596,32.88392047887636,6,0.5
9,0.0,0.635,0.365,1645.4629104100525,34.947769522274704,6,0.5
10,0.0,0.59,0.41,1751.1214790877536,38.73678474223866,6,0.5
11,0.0,0.555,0.445,1798.3623851806092,40.77565052691068,6,0.5
12,0.0,0.535,0.465,1825.2259833364074,42.08483036766884,6,0.5
13,0.0,0.52,0.48,1854.3400110776413,43.68494535665308,6,0.5
14,0.0,0.495,0.505,1887.4574517893686,45.85599082641592,6,0.5
15,0.0,0.47,0.53,1896.5526487468005,46.551272865964435,6,0.5
16,0.0,0.45,0.55,1915.111807362313,48.20595331194326,6,0.5
17,0.0,0.435,0.565,1925.3075827601156,49.33750566378632,6,0.5
18,0.0,0.415,0.585,1941.5238067969892,51.936297474140424,6,0.5
19,0.0,0.41,0.59,1944.0662981344944,52.61336890523942,6,0.5
20,0.0,0.39,0.61,1946.8774837505089,56.21933098465844,6,0.5
21,0.0,0.37,0.63,1942.229111816825,57.785843525999006,6,0.5
22,0.0,0.355,0.645,1938.035695359666,58.66365579643719,6,0.5
23,0.0,0.34,0.66,1931.066409202289,59.75705320235876,6,0.5
24,0.0,0.32,0.68,1917.9220108849167,61.35566507707345,6,0.5
25,0.0,0.31,0.69,1913.9978634132926,61.76744762767198,6,0.5
26,0.0,0.295,0.705,1898.92810038495,63.16193613146818,6,0.5
27,0.0,0.28,0.72,1889.9180261066672,63.89645326601729,6,0.5
28,0.0,0.26,0.74,1877.5392587371202,64.82176018909959,6,0.5
29,0.0,0.25,0.75,1865.9614639349438,65.61904722712616,6,0.5
30,0.0,0.225,0.775,1850.330114972384,66.61522567604771,6,0.5
31,0.0,0.21,0.79,1801.1239452906766,69.34600753981243,6,0.5
32,0.0,0.205,0.795,1798.6640730559582,69.46779631950903,6,0.5
33,0.0,0.2,0.8,1787.9063709409354,69.99195725847953,6,0.5
34,0.0,0.19,0.81,1764.3330683280356,71.09809526816564,6,0.5
35,0.0,0.185,0.815,1752.7047063803222,71.61152010907821,6,0.5
36,0.0,0.175,0.825,1745.5414694446636,71.92337504581151,6,0.5
37,0.0,0.17,0.83,1740.3540590644657,72.1444476687239,6,0.5
38,0.0,0.155,0.845,1713.8623872991377,73.23806220462055,6,0.5
39,0.0,0.145,0.855,1693.5716056288395,74.04379123570796,6,0.5
40,0.0,0.13,0.87,1671.2411361211196,74.89807970240011,6,0.5
41,0.0,0.12,0.88,1665.347296818819,75.1188844632151,6,0.5
42,0.0,0.115,0.885,1663.090541460944,75.20149048425728,6,0.5
43,0.0,0.105,0.895,1649.7790930050746,75.68858862595724,6,0.5
44,0.0,0.095,0.905,1632.7606601642149,76.29236581028603,6,0.5
45,0.0,0.095,0.905,1632.7606601642149,76.29236581028603,6,0.5
46,0.0,0.095,0.905,1632.7606601642149,76.29236581028603,6,0.5
47,0.0,0.095,0.905,1632.7606601642149,76.29236581028603,6,0.5
48,0.0,0.09,0.91,1629.397387363648,76.41052597628978,6,0.5
49,0.0,0.08,0.92,1620.957650691255,76.70498894679683,6,0.5
50,0.0,0.075,0.925,1615.6369437106919,76.89000015808446,6,0.5
51,0.0,0.07,0.93,1607.2198922821447,77.17821592263996,6,0.5
52,0.0,0.065,0.935,1589.6666253147682,77.76244926375344,6,0.5
53,0.0,0.06,0.94,1586.8787314067897,77.85420636764539,6,0.5
54,0.0,0.045,0.955,1577.2765792555006,78.1688854473239,6,0.5
55,0.0,0.045,0.955,1577.2765792555006,78.1688854473239,6,0.5
56,0.0,0.035,0.965,1557.6903182278584,78.80458560242906,6,0.5
57,0.0,0.035,0.965,1557.6903182278584,78.80458560242906,6,0.5
58,0.0,0.03,0.97,1546.001646962553,79.17769636884152,6,0.5
59,0.0,0.03,0.97,1546.001646962553,79.17769636884152,6,0.5
60,0.0,0.03,0.97,1546.001646962553,79.17769636884152,6,0.5
61,0.0,0.025,0.975,1537.8893134355358,79.43312673529476,6,0.5
62,0.0,0.025,0.975,1537.8893134355358,79.43312673529476,6,0.5
63,0.0,0.025,0.975,1537.8893134355358,79.43312673529476,6,0.5
64,0.0,0.025,0.975,1537.8893134355358,79.43312673529476,6,0.5
65,0.0,0.025,0.975,1537.8893134355358,79.43312673529476,6,0.5
0,0.0,1.0,0.0,985.0183373681498,0.0,6,1.0
1,0.0,0.95,0.05,887.7851797576227,4.269537338158887,6,1.0
2,0.0,0.9,0.1,993.5770935842924,10.420327854083013,6,1.0
3,0.0,0.86,0.14,1095.745752966346,14.934788000443646,6,1.0
4,0.0,0.815,0.185,1184.5269107051354,18.59026687668448,6,1.0
5,0.0,0.765,0.235,1284.0407939718166,22.46713788334558,6,1.0
6,0.0,0.735,0.265,1384.0073011811019,26.15136937334852,6,1.0
7,0.0,0.705,0.295,1481.154546047669,29.552551041535295,6,1.0
8,0.0,0.665,0.335,1581.146824460596,32.88392047887636,6,1.0
9,0.0,0.665,0.335,1581.146824460596,32.88392047887636,6,1.0
10,0.0,0.665,0.335,1581.146824460596,32.88392047887636,6,1.0
11,0.0,0.665,0.335,1581.146824460596,32.88392047887636,6,1.0
12,0.0,0.64,0.36,1633.0697918568012,34.55458605453789,6,1.0
13,0.0,0.64,0.36,1633.0697918568012,34.55458605453789,6,1.0
14,0.0,0.64,0.36,1633.0697918568012,34.55458605453789,6,1.0
15,0.0,0.64,0.36,1633.0697918568012,34.55458605453789,6,1.0
16,0.0,0.64,0.36,1633.0697918568012,34.55458605453789,6,1.0
0,0.0,1.0,0.0,985.0183373681498,0.0,6,1.5
1,0.0,0.95,0.05,887.7851797576227,4.269537338158887,6,1.5
2,0.0,0.9,0.1,993.5770935842924,10.420327854083013,6,1.5
3,0.0,0.86,0.14,1095.745752966346,14.934788000443646,6,1.5
4,0.0,0.815,0.185,1184.5269107051354,18.59026687668448,6,1.5
5,0.0,0.765,0.235,1284.0407939718166,22.46713788334558,6,1.5
6,0.0,0.735,0.265,1384.0073011811019,26.15136937334852,6,1.5
7,0.0,0.705,0.295,1481.154546047669,29.552551041535295,6,1.5
8,0.0,0.665,0.335,1581.146824460596,32.88392047887636,6,1.5
9,0.0,0.685,0.315,1528.9824329588073,31.161862756772198,6,1.5
10,0.0,0.69,0.31,1508.2728549886322,30.466257416147855,6,1.5
11,0.0,0.65,0.35,1578.9310984037943,32.810079617742645,6,1.5
12,0.0,0.625,0.375,1630.821208716954,34.481456188898065,6,1.5
13,0.0,0.655,0.345,1588.2245026234402,33.11741597521956,6,1.5
14,0.0,0.67,0.33,1530.5868547752084,31.22589621079974,6,1.5
15,0.0,0.64,0.36,1560.7881967719725,32.225294051767094,6,1.5
16,0.0,0.655,0.345,1518.1542496423383,30.810051379293014,6,1.5
17,0.0,0.63,0.37,1585.7021811912714,33.04363237886767,6,1.5
18,0.0,0.65,0.35,1525.2048966981017,31.04684762470024,6,1.5
19,0.0,0.635,0.365,1583.5949577313108,32.97386022500909,6,1.5
20,0.0,0.655,0.345,1489.5951655369738,29.841228686494432,6,1.5
21,0.0,0.625,0.375,1561.9728630073905,32.25305588914691,6,1.5
22,0.0,0.6,0.4,1628.6693777961623,34.41025232261613,6,1.5
23,0.0,0.625,0.375,1558.3097905752943,32.13136752707069,6,1.5
24,0.0,0.64,0.36,1504.6711815100216,30.340713899147815,6,1.5
25,0.0,0.605,0.395,1591.282288376042,33.20282136563288,6,1.5
26,0.0,0.63,0.37,1551.3721242477964,31.896720026599745,6,1.5
27,0.0,0.6,0.4,1607.113330204218,33.70926292757122,6,1.5
28,0.0,0.615,0.385,1560.5262408391752,32.19601582247637,6,1.5
29,0.0,0.635,0.365,1515.0124412701714,30.683207760594456,6,1.5
30,0.0,0.6,0.4,1587.5847273500917,33.081359787541885,6,1.5
31,0.0,0.615,0.385,1560.322515767558,32.18904935324463,6,1.5
32,0.0,0.63,0.37,1516.6161545882462,30.739233801899296,6,1.5
33,0.0,0.61,0.39,1580.2991461300508,32.84487676991199,6,1.5
34,0.0,0.62,0.38,1546.8991457080263,31.752466961522558,6,1.5
35,0.0,0.605,0.395,1594.5565964596008,33.313766310082435,6,1.5
36,0.0,0.58,0.42,1635.3672911639428,34.622679526646095,6,1.5
37,0.0,0.615,0.385,1560.3221810418438,32.197111585700114,6,1.5
38,0.0,0.63,0.37,1519.665947323573,30.84948467142611,6,1.5
39,0.0,0.65,0.35,1448.9948717535256,28.442427957864204,6,1.5
40,0.0,0.605,0.395,1611.9006972983186,33.87461165225081,6,1.5
41,0.0,0.625,0.375,1585.104522911098,33.010937887269094,6,1.5
42,0.0,0.64,0.36,1548.6850652591734,31.81456991431105,6,1.5
43,0.0,0.61,0.39,1600.019006586981,33.491446962701914,6,1.5
44,0.0,0.625,0.375,1574.840104331468,32.67869343477655,6,1.5
45,0.0,0.645,0.355,1547.757459120363,31.787857103066568,6,1.5
46,0.0,0.615,0.385,1616.9006012807852,34.042053455273056,6,1.5
47,0.0,0.63,0.37,1586.517007837775,33.06458847558491,6,1.5
48,0.0,0.595,0.405,1627.542412787766,34.3807473586933,6,1.5
49,0.0,0.605,0.395,1614.78051057846,33.97210865200171,6,1.5
50,0.0,0.635,0.365,1513.1038591314866,30.63684147191882,6,1.5
51,0.0,0.65,0.35,1465.7731293592954,29.02537734326671,6,1.5
52,0.0,0.62,0.38,1603.52412445,33.6089932604185,6,1.5
53,0.0,0.635,0.365,1556.2641365835227,32.068927567905476,6,1.5
54,0.0,0.595,0.405,1634.8047819845149,34.61030616912233,6,1.5
55,0.0,0.63,0.37,1539.2137280342063,31.509312131317436,6,1.5
56,0.0,0.605,0.395,1601.4668445633379,33.54260010308893,6,1.5
57,0.0,0.63,0.37,1526.2531771759825,31.071319519163417,6,1.5
58,0.0,0.595,0.405,1611.5750070129423,33.86314924087431,6,1.5
59,0.0,0.61,0.39,1588.772122112038,33.12834563942627,6,1.5
60,0.0,0.59,0.41,1633.1999481555192,34.55029663169702,6,1.5
61,0.0,0.61,0.39,1554.4376053365613,31.99817491687126,6,1.5
62,0.0,0.57,0.43,1630.1794958689209,34.45251298951669,6,1.5
63,0.0,0.6,0.4,1529.1398930646062,31.168016657447694,6,1.5
64,0.0,0.62,0.38,1495.6157892654053,30.039609815028605,6,1.5
65,0.0,0.585,0.415,1574.1143535439342,32.653815156319865,6,1.5
66,0.0,0.59,0.41,1569.1811031659,32.49333715880219,6,1.5
67,0.0,0.605,0.395,1565.2863653173988,32.3658621946022,6,1.5
68,0.0,0.625,0.375,1531.658485126218,31.254495769698142,6,1.5
69,0.0,0.585,0.415,1616.2815462301712,34.01449379695256,6,1.5
70,0.0,0.615,0.385,1547.576428653027,31.78264876968654,6,1.5
71,0.0,0.615,0.385,1547.576428653027,31.78264876968654,6,1.5
72,0.0,0.575,0.425,1632.0341488763133,34.52234162116315,6,1.5
73,0.0,0.6,0.4,1552.0460725054436,31.93264221656401,6,1.5
74,0.0,0.58,0.42,1613.5854994820063,33.93696542826156,6,1.5
75,0.0,0.6,0.4,1554.1782483088573,32.0044671897727,6,1.5
76,0.0,0.605,0.395,1552.0453750818426,31.934492147705377,6,1.5
77,0.0,0.615,0.385,1539.860579268364,31.53009065767445,6,1.5
78,0.0,0.585,0.415,1610.6147309375278,33.830986151474946,6,1.5
79,0.0,0.605,0.395,1514.289197966174,30.673173949851318,6,1.5
80,0.0,0.59,0.41,1544.9811433219654,31.699527425821145,6,1.5
81,0.0,0.565,0.435,1597.418291684997,33.41406945140998,6,1.5
82,0.0,0.565,0.435,1597.418291684997,33.41406945140998,6,1.5
83,0.0,0.585,0.415,1546.5607128847632,31.751249493701568,6,1.5
84,0.0,0.605,0.395,1503.6071676167205,30.31901709704851,6,1.5
85,0.0,0.57,0.43,1596.3336760527739,33.377948122101834,6,1.5
86,0.0,0.6,0.4,1557.5054603795254,32.116323408949896,6,1.5
87,0.0,0.58,0.42,1594.3892697011308,33.318903299327935,6,1.5
