run_id,seed_share_f,beta_rhood,candidate_share_f,candidate_c_ext,candidate_local_eq_rate,n_positive_D_min,mean_positive_D_min
3,0.0,0.05,0.36,32.71535911665673,1.0,200,6.7550279395996515
1,0.0,0.05,0.36,39.58584655794821,0.9861111111111112,200,6.94727658845934
0,0.0,0.05,0.36,25.912352303297013,0.9444444444444444,200,6.141139673318866
2,0.0,0.05,0.36,33.11042765891675,0.9861111111111112,200,6.41109060302408
5,0.0,0.05,0.36,28.31694445284959,1.0,200,6.386925984842646
4,0.0,0.05,0.36,35.69187823507461,0.9444444444444444,200,6.947313424822138
6,0.0,0.05,0.36,34.62640986256568,0.9583333333333334,200,6.770800546064367
7,0.0,0.05,0.36,29.742913685341634,0.9583333333333334,200,6.610542705120629
9,0.0,0.05,0.36,35.351713771760394,0.9861111111111112,200,6.777517726978265
8,0.0,0.05,0.36,30.518988735391687,0.9861111111111112,200,6.782281684383033
10,0.0,0.05,0.36,37.79286706506892,0.9722222222222222,200,7.098777494588103
11,0.0,0.05,0.36,36.049223754563485,1.0,200,7.025438049475161
12,0.0,0.05,0.36,32.272414082601,0.9861111111111112,200,6.6491942794769265
13,0.0,0.05,0.36,32.38394788511903,0.9583333333333334,200,6.698505363121395
15,0.0,0.05,0.36,33.48660545614885,0.9861111111111112,200,6.7820197318200846
14,0.0,0.05,0.36,40.254550401403975,0.9583333333333334,200,6.929543159108164
16,0.0,0.05,0.36,32.852866650766515,0.9722222222222222,200,6.550440708066316
18,0.06,0.05,0.36,34.19438744882672,0.9444444444444444,200,6.556809649496031
17,0.0,0.05,0.36,28.96649817380082,0.9444444444444444,200,6.247271484675578
19,0.06,0.05,0.36,33.87837793099142,0.9722222222222222,200,6.8146709526106495
20,0.06,0.05,0.36,31.824486589502573,0.9861111111111112,200,6.687928479827
22,0.06,0.05,0.36,31.531217301351006,0.9861111111111112,200,6.7209567295932
21,0.06,0.05,0.36,30.584553186701754,0.9583333333333334,200,6.341266695267714
23,0.06,0.05,0.36,33.94936930260621,0.9722222222222222,200,6.555426511730174
24,0.06,0.05,0.36,31.086395990788503,0.9583333333333334,200,6.3875379013681775
25,0.06,0.05,0.36,32.875525671169015,0.9861111111111112,200,6.478362809314697
26,0.06,0.05,0.36,34.78677167799178,0.9722222222222222,200,6.766568545389117
27,0.06,0.05,0.36,36.85004392182313,0.9722222222222222,200,6.77929015261788
28,0.06,0.05,0.36,32.3340868475739,0.9583333333333334,200,6.685351946549462
29,0.06,0.05,0.36,32.136614018855944,0.9861111111111112,200,6.378636099688237
30,0.06,0.05,0.36,31.49369546694882,0.9444444444444444,200,6.699058179565228
31,0.06,0.05,0.36,33.397674393085055,0.9305555555555556,200,6.785751318306106
32,0.06,0.05,0.36,41.01747063129105,0.9583333333333334,200,6.874418744304
33,0.06,0.05,0.36,32.016779490335324,0.9444444444444444,200,6.717832949577849
34,0.06,0.05,0.36,33.09860014409168,1.0,200,6.653176784901361
35,0.06,0.05,0.36,32.239397647661086,0.9722222222222222,200,6.7266102915089405
