fee_multiple,mean_final_share_N,mean_final_share_E,mean_final_share_F,sd_final_share_F,mean_final_W,sd_final_W,mean_stable_window_W,sd_stable_window_W,mean_final_C_ext,mean_charged_F_count,mean_blocked_F_count,mean_threshold_trigger_rate,convergence_rate,n_runs
0.0,0.0,0.03805555555555556,0.9619444444444445,0.020746007456781273,1369.179563930385,302.08455220867523,1383.3703307495255,300.9669650076566,79.25128215955579,0.0,0.0,0.8889146887038133,1.0,36
0.5,0.0,0.03805555555555556,0.9619444444444445,0.020746007456781273,1369.179563930385,302.08455220867523,1383.3703307495255,300.9669650076566,79.25128215955579,560.0,0.0,0.8889146887038133,1.0,36
1.0,0.0,0.6658333333333333,0.33416666666666667,0.04103134690174609,1570.8277490375663,115.22298632989938,1457.7082257344027,142.27823053143575,32.44879371514722,47.22222222222222,32.0,0.3910306129056129,1.0,36
1.5,0.0,0.6363888888888889,0.3636111111111111,0.04070119533364225,1522.0444660557396,111.72286605272313,1530.6836246309208,102.06884474758363,30.785336937377604,594.7222222222222,594.7222222222222,0.5947222222222223,0.0,36
2.0,0.0,0.6363888888888889,0.3636111111111111,0.04070119533364225,1522.0444660557396,111.72286605272313,1530.6836246309208,102.06884474758363,30.785336937377604,594.7222222222222,594.7222222222222,0.5947222222222223,0.0,36
